Application,Images,Epochs,Batchsize,Jobs,GpuType,GpuNumber,ExecutionTime,min,max
pytorch_alexnet,130000,1152,128,J1,GTX 1080Ti,1,150278.45075711998,45124.03217664,522247.80026880006
pytorch_alexnet,130000,1152,128,J1,M60,1,173922.44972544003,45124.03217664,522247.80026880006
pytorch_alexnet,130000,1152,128,J1,K80,1,195328.27358208003,45124.03217664,522247.80026880006
pytorch_alexnet,130000,1152,128,J1,Quadro P600,1,522247.80026880006,45124.03217664,522247.80026880006
pytorch_alexnet,130000,1152,128,J1,GTX 1080Ti,2,179266.93475328002,45124.03217664,522247.80026880006
pytorch_alexnet,130000,1152,128,J1,M60,2,186755.7631104,45124.03217664,522247.80026880006
pytorch_alexnet,130000,1152,128,J1,K80,2,193535.68813055998,45124.03217664,522247.80026880006
pytorch_alexnet,130000,1152,128,J1,Quadro P600,2,297081.80236800003,45124.03217664,522247.80026880006
pytorch_alexnet,130000,1152,128,J1,GTX 1080Ti,3,186795.2611584,45124.03217664,522247.80026880006
pytorch_alexnet,130000,1152,128,J1,M60,3,186971.37297408,45124.03217664,522247.80026880006
pytorch_alexnet,130000,1152,128,J1,K80,3,187130.81376,45124.03217664,522247.80026880006
pytorch_alexnet,130000,1152,128,J1,Quadro P600,3,189565.86659328002,45124.03217664,522247.80026880006
pytorch_alexnet,130000,1152,128,J1,GTX 1080Ti,4,188958.54818304,45124.03217664,522247.80026880006
pytorch_alexnet,130000,1152,128,J1,M60,4,184032.55694592,45124.03217664,522247.80026880006
pytorch_alexnet,130000,1152,128,J1,K80,4,179572.86717696,45124.03217664,522247.80026880006
pytorch_alexnet,130000,1152,128,J1,Quadro P600,4,111462.44626944,45124.03217664,522247.80026880006
pytorch_alexnet,130000,1152,128,J1,GTX 1080Ti,5,188975.81945088002,45124.03217664,522247.80026880006
pytorch_alexnet,130000,1152,128,J1,M60,5,179831.97059328004,45124.03217664,522247.80026880006
pytorch_alexnet,130000,1152,128,J1,K80,5,171553.69168128,45124.03217664,522247.80026880006
pytorch_alexnet,130000,1152,128,J1,Quadro P600,5,45124.03217664,45124.03217664,522247.80026880006
pytorch_alexnet,130000,1152,128,J1,GTX 1080Ti,6,187920.08282880002,45124.03217664,522247.80026880006
pytorch_alexnet,130000,1152,128,J1,M60,6,175000.49904383998,45124.03217664,522247.80026880006
pytorch_alexnet,130000,1152,128,J1,K80,6,163303.90175232,45124.03217664,522247.80026880006
pytorch_alexnet,130000,1152,128,J1,Quadro P600,6,45124.03217664,45124.03217664,522247.80026880006
pytorch_alexnet,130000,1152,128,J1,GTX 1080Ti,7,186251.19883776,45124.03217664,522247.80026880006
pytorch_alexnet,130000,1152,128,J1,M60,7,169808.52169728003,45124.03217664,522247.80026880006
pytorch_alexnet,130000,1152,128,J1,K80,7,154922.33214719998,45124.03217664,522247.80026880006
pytorch_alexnet,130000,1152,128,J1,Quadro P600,7,154922.33214719998,45124.03217664,522247.80026880006
pytorch_alexnet,130000,1152,128,J1,GTX 1080Ti,8,184199.09776128,45124.03217664,522247.80026880006
pytorch_alexnet,130000,1152,128,J1,M60,8,164391.22821888005,45124.03217664,522247.80026880006
pytorch_alexnet,130000,1152,128,J1,K80,8,146458.40023296,45124.03217664,522247.80026880006
pytorch_alexnet,130000,1152,128,J1,Quadro P600,8,146458.40023296,45124.03217664,522247.80026880006
pytorch_alexnet,130000,2889,256,J2,GTX 1080Ti,1,374604.99154793995,43207.074427086,1193160.1599881998
pytorch_alexnet,130000,2889,256,J2,M60,1,426635.93863457994,43207.074427086,1193160.1599881998
