UniqueJobsID,VMtype,GpuType,GpuNumber,maxGpuNumber,cost,ExecutionTime
JJ1,Standard_NC6,K80,1,1,0.56,70962.68727159999
JJ1,Standard_NC12,K80,1,2,1.13,70962.68727159999
JJ1,Standard_NC12,K80,2,2,1.13,72671.4748476
JJ1,Standard_NC24,K80,1,4,2.25,70962.68727159999
JJ1,Standard_NC24,K80,2,4,2.25,72671.4748476
JJ1,Standard_NC24,K80,3,4,2.25,81208.2262028
JJ1,Standard_NC24,K80,4,4,2.25,91451.9685176
JJ1,Standard_NC24X,K80,1,8,4.48,70962.68727159999
JJ1,Standard_NC24X,K80,2,8,4.48,72671.4748476
JJ1,Standard_NC24X,K80,3,8,4.48,81208.2262028
JJ1,Standard_NC24X,K80,4,8,4.48,91451.9685176
JJ1,Standard_NC24X,K80,5,8,4.48,102378.50721919998
JJ1,Standard_NC24X,K80,6,8,4.48,113646.4441068
JJ1,Standard_NC24X,K80,7,8,4.48,125109.46567
JJ1,Standard_NC24X,K80,8,8,4.48,136694.4151684
JJ1,Standard_NV6,M60,1,1,0.62,63829.075994
JJ1,Standard_NV12,M60,1,2,1.24,63829.075994
JJ1,Standard_NV12,M60,2,2,1.24,65163.8587936
JJ1,Standard_NV24,M60,1,4,2.48,63829.075994
JJ1,Standard_NV24,M60,2,4,2.48,65163.8587936
JJ1,Standard_NV24,M60,3,4,2.48,71824.9395784
JJ1,Standard_NV24,M60,4,4,2.48,79817.5948632
JJ1,Standard_NV24X,M60,1,8,4.96,63829.075994
JJ1,Standard_NV24X,M60,2,8,4.96,65163.8587936
JJ1,Standard_NV24X,M60,3,8,4.96,71824.9395784
JJ1,Standard_NV24X,M60,4,8,4.96,79817.5948632
JJ1,Standard_NV24X,M60,5,8,4.96,88342.879948
JJ1,Standard_NV24X,M60,6,8,4.96,97134.47993280001
JJ1,Standard_NV24X,M60,7,8,4.96,106078.25986680001
JJ1,Standard_NV24X,M60,8,8,4.96,115117.1522524
JJ1,In-house server 3,Quadro P600,1,8,0.44,179910.459524
JJ1,In-house server 3,Quadro P600,2,8,0.44,187331.218892
JJ1,In-house server 3,Quadro P600,3,8,0.44,224514.06874799996
JJ1,In-house server 3,Quadro P600,4,8,0.44,269137.44115200004
JJ1,In-house server 3,Quadro P600,5,8,0.44,316737.02266400005
JJ1,In-house server 3,Quadro P600,6,8,0.44,365824.708656
JJ1,In-house server 3,Quadro P600,7,8,0.44,415762.74004400003
JJ1,In-house server 3,Quadro P600,8,8,0.44,466232.23750800005
JJ1,In-house server 1,Quadro P600,1,2,0.11,179910.459524
JJ1,In-house server 1,Quadro P600,2,2,0.11,187331.218892
JJ1,In-house server 2,GTX 1080Ti,1,8,1.13,55949.580266000004
JJ1,In-house server 2,GTX 1080Ti,2,8,1.13,56871.2526784
JJ1,In-house server 2,GTX 1080Ti,3,8,1.13,61460.544333599995
JJ1,In-house server 2,GTX 1080Ti,4,8,1.13,66966.74080320001
JJ1,In-house server 2,GTX 1080Ti,5,8,1.13,72839.6991956
JJ1,In-house server 2,GTX 1080Ti,6,8,1.13,78896.0385568
JJ1,In-house server 2,GTX 1080Ti,7,8,1.13,85057.1670388
JJ1,In-house server 2,GTX 1080Ti,8,8,1.13,91283.78871760001
JJ2,Standard_NC6,K80,1,1,0.56,484662.1828854
JJ2,Standard_NC12,K80,1,2,1.13,484662.1828854
JJ2,Standard_NC12,K80,2,2,1.13,470157.71426393336
JJ2,Standard_NC24,K80,1,4,2.25,484662.1828854
JJ2,Standard_NC24,K80,2,4,2.25,470157.71426393336
JJ2,Standard_NC24,K80,3,4,2.25,442330.5323129
JJ2,Standard_NC24,K80,4,4,2.25,411172.6720048334
JJ2,Standard_NC24X,K80,1,8,4.48,484662.1828854
JJ2,Standard_NC24X,K80,2,8,4.48,470157.71426393336
JJ2,Standard_NC24X,K80,3,8,4.48,442330.5323129
JJ2,Standard_NC24X,K80,4,8,4.48,411172.6720048334
JJ2,Standard_NC24X,K80,5,8,4.48,378682.54027510004
JJ2,Standard_NC24X,K80,6,8,4.48,345526.2729331
JJ2,Standard_NC24X,K80,7,8,4.48,311989.35669796664
JJ2,Standard_NC24X,K80,8,8,4.48,278214.5347321333
JJ2,Standard_NV6,M60,1,1,0.62,436488.7218496
JJ2,Standard_NV12,M60,1,2,1.24,436488.7218496
JJ2,Standard_NV12,M60,2,2,1.24,460524.2527010333
JJ2,Standard_NV24,M60,1,4,2.48,436488.7218496
JJ2,Standard_NV24,M60,2,4,2.48,460524.2527010333
JJ2,Standard_NV24,M60,3,4,2.48,451968.81122306664
JJ2,Standard_NV24,M60,4,4,2.48,435265.62651490007
JJ2,Standard_NV24X,M60,1,8,4.96,436488.7218496
JJ2,Standard_NV24X,M60,2,8,4.96,460524.2527010333
JJ2,Standard_NV24X,M60,3,8,4.96,451968.81122306664
JJ2,Standard_NV24X,M60,4,8,4.96,435265.62651490007
JJ2,Standard_NV24X,M60,5,8,4.96,415303.3446329334
JJ2,Standard_NV24X,M60,6,8,4.96,393711.5141640667
JJ2,Standard_NV24X,M60,7,8,4.96,371188.5129614667
JJ2,Standard_NV24X,M60,8,8,4.96,348083.5300995667
JJ2,In-house server 3,Quadro P600,1,8,0.44,1220389.301204
JJ2,In-house server 3,Quadro P600,2,8,0.44,617284.3426639667
JJ2,In-house server 3,Quadro P600,3,8,0.44,295130.3312887
JJ2,In-house server 3,Quadro P600,4,8,0.44,43214.05668984001
