Application,Images,Epochs,Batchsize,Jobs,UniqueJobsID,SubmissionTime,Deadline,Tardinessweight,MinExecTime,MaxExecTime
tf_alexnet,130000,370,1024,J108,JJ1,0,605848.0532564986,0.0030637362404594723,55949.580266000004,466232.23750800005
pytorch_alexnet,130000,2957,256,J22,JJ2,5034,980796.0213232762,0.013187672030786055,43214.05668984001,1220389.301204
pytorch_alexnet,130000,727,512,J15,JJ3,9916,75540.70802158254,0.009407939049846731,49163.85020354999,285399.39235125
tf_resnet50,130000,70,16,J138,JJ4,14888,198834.57978262997,0.011895314661942293,82866.188944,399430.21384
pytorch_resnet50,130000,257,64,J44,JJ5,19848,2316126.480627328,0.010801949336250873,43361.55585039999,1370343.8518793334
pytorch_resnet50,130000,257,64,J56,JJ6,24841,454261.1281358218,0.011199191116526733,43293.01593786667,1370101.26067
pytorch_alexnet,130000,1171,128,J29,JJ7,30061,589623.2458504806,0.005012283465076485,45776.328444125,530754.87789775
tf_alexnet,130000,291,128,J109,JJ8,34882,757489.4689877493,0.007281705541720509,61401.9214418,489513.49565100006
tf_resnet50,130000,77,64,J152,JJ9,39817,134110.94027032284,0.004157578159302431,51423.92842124999,323937.18588
pytorch_alexnet,130000,2957,256,J22,JJ10,44818,347693.90666416794,0.013260538108223047,43214.05668984001,1220389.301204
pytorch_alexnet,130000,972,1024,J4,JJ11,49869,756907.2808097866,0.009246723111036366,51759.161954639996,373270.5585648
pytorch_resnet50,130000,257,64,J60,JJ12,54967,2694398.4986780803,0.010098019265204646,43283.22451934286,1370066.6042199999
tf_vgg19,130000,7,8,J162,JJ13,59940,256018.5329212748,0.008343172268057824,43954.86382,577068.044
tf_resnet50,130000,126,32,J143,JJ14,64905,409131.4430244436,0.013895705919122581,105828.28641,590751.42966
tf_resnet50,130000,88,32,J139,JJ15,69964,151375.44641794253,0.0032622259723401378,73911.3896928,412606.66409599996
pytorch_resnet50,130000,38,8,J45,JJ16,75009,457718.2991090156,0.0066245104668987715,65387.795081,241321.66760000002
pytorch_resnet50,130000,67,16,J58,JJ17,80009,503732.23928813933,0.003039253489476416,83754.26811057143,386430.27850857144
tf_resnet50,130000,103,16,J134,JJ18,85108,1085053.1784864187,0.003430624018290849,121935.0316255,587735.186065
tf_vgg19,130000,7,8,J168,JJ19,90141,225208.09599901087,0.004614702510592418,43954.86729666667,577070.0002666668
tf_vgg19,130000,11,16,J157,JJ20,95049,350302.1756585305,0.008095849799214232,46791.794885,661074.2908
tf_vgg19,130000,14,32,J161,JJ21,100155,181225.67502494674,0.005156386559448352,45375.293516,684993.1074000001
tf_resnet50,130000,40,8,J145,JJ22,105144,480005.7876980322,0.0133063861552693,72835.66930285713,310264.3628571428
pytorch_alexnet,130000,1135,128,J5,JJ23,110316,732772.4023196686,0.010659923700114624,44407.2190639,514482.09644449997
tf_resnet50,130000,133,64,J132,JJ24,115313,736577.9974729676,0.009121717656831046,88774.893998,560058.7045433333
pytorch_vgg19,130000,8111,32,J82,JJ25,120226,52401658.28615332,0.01087835665590308,43200.50333454667,181844071.21601665
pytorch_resnet50,130000,3472,32,J47,JJ26,125236,23394142.21416216,0.003141391462999226,43206.4289692,19014756.502
tf_alexnet,130000,415,256,J118,JJ27,130297,296383.6740707084,0.010840672982360241,73386.63565975,597988.35285
tf_alexnet,130000,291,128,J109,JJ28,135333,888209.20368134,0.011941420427522241,61401.9214418,489513.49565100006
pytorch_alexnet,130000,1121,512,J31,JJ29,140322,221963.04216884542,0.005737005753760202,75677.6078328,439955.76567075006
pytorch_resnet50,130000,255,64,J36,JJ30,145273,1634470.1555175174,0.003384901221182319,43296.1379871,1360642.5119399999
pytorch_alexnet,130000,2943,256,J10,JJ31,150295,2301661.3864514083,0.014648361002350736,43210.50346134,1214781.5104128001
tf_vgg19,130000,11,16,J163,JJ32,155339,506677.7410375045,0.010773634824478667,46791.541808,661086.2346
tf_vgg19,130000,7,8,J153,JJ33,160250,1217981.3952972612,0.00834810251049465,43954.83267,577050.43578
tf_vgg19,130000,14,32,J176,JJ34,165233,1130102.0869220248,0.009243356427739685,45374.453635,685011.5464499999
pytorch_vgg19,130000,7098,32,J70,JJ35,170225,205382271.36823276,0.010774406717770873,43206.037843877995,159130241.65038
tf_vgg19,130000,14,32,J155,JJ36,175209,1060410.1635202654,0.00941036596232962,45377.981124000005,684934.103
pytorch_resnet50,130000,3073,32,J39,JJ37,180262,17233604.156070344,0.011608160518455451,43201.76592123,16831603.149178997
pytorch_alexnet,130000,669,512,J7,JJ38,185242,317064.6889751958,0.005740684927005394,45397.62243729,262769.6023074
pytorch_alexnet,130000,1121,512,J31,JJ39,190245,594069.2173049676,0.009410114554796609,75677.6078328,439955.76567075006
pytorch_resnet50,130000,63,16,J46,JJ40,195349,453597.52256251546,0.006856259327160033,78756.100416,363367.19223000004
pytorch_resnet50,130000,257,64,J64,JJ41,200355,1568252.7571370164,0.010241106085336057,43275.880955450004,1370040.612525
tf_vgg19,130000,11,16,J160,JJ42,205385,778617.7016632545,0.007930114605093094,46791.626163333334,661082.2534066667
tf_alexnet,130000,399,256,J106,JJ43,210325,1266356.492596333,0.006750820863617511,70558.14714648,574933.0453692001
tf_resnet50,130000,40,8,J145,JJ44,215353,656880.9648567284,0.01302875678803889,72835.66930285713,310264.3628571428
tf_resnet50,130000,49,16,J122,JJ45,220348,689612.6099128242,0.005957929079771139,58031.85897739999,279617.56792199996
pytorch_resnet50,130000,257,64,J60,JJ46,225245,2307801.061188928,0.004025535367187012,43283.22451934286,1370066.6042199999
tf_resnet50,130000,105,64,J136,JJ47,230292,446633.14890340617,0.009334920505526766,70100.68107,441983.97579
pytorch_vgg19,130000,150,8,J83,JJ48,235194,7524467.704503347,0.005469653709898946,43223.12768571429,7131159.175714285
tf_resnet50,130000,26,8,J129,JJ49,240101,433333.6095797218,0.008205102582221034,47347.15589066667,201657.64892
pytorch_resnet50,130000,257,64,J52,JJ50,245094,2391067.737520637,0.008043440492499866,43306.7239238,1370149.778672
pytorch_vgg19,130000,8111,32,J82,JJ51,250162,175823595.20085013,0.00932360271784263,43200.50333454667,181844071.21601665
pytorch_resnet50,130000,3472,32,J47,JJ52,255240,12313873.088813758,0.014634696648182816,43206.4289692,19014756.502
tf_alexnet,130000,331,256,J110,JJ53,260266,984422.210722469,0.004889948115293962,58532.87687703334,476949.592244
pytorch_resnet50,130000,3676,32,J59,JJ54,265325,27917069.300923552,0.0059490943492611185,43201.91913131429,20130952.425028574
tf_alexnet,130000,331,256,J110,JJ55,270311,653220.5090114938,0.012101329542822531,58532.87687703334,476949.592244
tf_vgg19,130000,11,16,J157,JJ56,275476,535751.3027828877,0.0126435273330101,46791.794885,661074.2908
pytorch_alexnet,130000,1425,1024,J12,JJ57,280521,1119685.976958531,0.012684666317267546,73949.797666,545517.69706
tf_resnet50,130000,75,8,J121,JJ58,285556,1294704.369031685,0.013797741285069692,136618.42458,581561.5239
pytorch_resnet50,130000,257,64,J64,JJ59,290604,1396970.5963710656,0.011872828903882575,43275.880955450004,1370040.612525
pytorch_resnet50,130000,257,64,J52,JJ60,295548,2389685.2037531273,0.0033218822268919774,43306.7239238,1370149.778672
pytorch_resnet50,130000,257,64,J60,JJ61,300546,1841061.715174144,0.005040745524703944,43283.22451934286,1370066.6042199999
pytorch_alexnet,130000,1227,1024,J24,JJ62,305473,382966.85370866,0.003986843354742552,63258.84623129999,469350.19172899995
pytorch_alexnet,130000,1168,128,J17,JJ63,310501,514134.1066225965,0.012744322767696506,45666.913595904,529404.2255232
pytorch_alexnet,130000,1168,128,J17,JJ64,315566,1077996.654190024,0.013988024276807731,45666.913595904,529404.2255232
tf_vgg19,130000,7,8,J153,JJ65,320569,913499.2667445389,0.004040257623820454,43954.83267,577050.43578
pytorch_resnet50,130000,257,64,J44,JJ66,325522,2737099.7596921637,0.0109858726473018,43361.55585039999,1370343.8518793334
pytorch_resnet50,130000,47,8,J57,JJ67,330608,836906.9377028252,0.014975777149666802,80870.93421828572,298475.1309
tf_alexnet,130000,294,128,J93,JJ68,335558,1092471.2872888898,0.013952951669601085,62037.5591052,494551.32678000006
pytorch_alexnet,130000,1254,1024,J28,JJ69,340671,700923.759635393,0.005194992002549139,64590.13994022857,479624.2791497143
tf_resnet50,130000,105,64,J136,JJ70,345706,586207.8580666946,0.005964519549767031,70100.68107,441983.97579
tf_resnet50,130000,107,32,J151,JJ71,350758,1233104.0950552123,0.009248564723020873,89870.70539150001,501641.9536525
pytorch_resnet50,130000,3676,32,J59,JJ72,355611,21759287.787837382,0.009456379447170917,43201.91913131429,20130952.425028574
pytorch_vgg19,130000,150,8,J83,JJ73,360645,540805.9589887038,0.011551261346706861,43223.12768571429,7131159.175714285
pytorch_resnet50,130000,257,64,J64,JJ74,365643,1259917.797993816,0.011413268896165386,43275.880955450004,1370040.612525
pytorch_alexnet,130000,1425,1024,J12,JJ75,370672,739312.277336229,0.010725206770681487,73949.797666,545517.69706
pytorch_resnet50,130000,26,8,J49,JJ76,375638,516825.94084778056,0.004046375500833401,44738.1286248,165114.394432
tf_alexnet,130000,432,1024,J112,JJ77,380721,975626.8744617065,0.0035416688010209314,65324.2825008,544351.0970879999
tf_vgg19,130000,14,32,J167,JJ78,385821,1685702.1809712772,0.009223033710026272,45374.755994399995,685004.90856
tf_vgg19,130000,11,16,J160,JJ79,390852,1504741.3713677402,0.007321586274471631,46791.626163333334,661082.2534066667
