n_iterate,sim_time,Application,Images,Epochs,Batchsize,Jobs,UniqueJobsID,SubmissionTime,Deadline,Tardinessweight,MinExecTime,MaxExecTime,ExecutionTime,CompletionPercent,StartTime,FinishTime,Nodes,VMType,GpuType,GpuNumber,cost,Tardiness,VMcost,TardinessCost,TotalCost
1,44771,tf_alexnet,130000,343,256,J90,JJ1,0,372298,0.0149993,60663.3,494238,44771,22.7291,0,0,n1,In-house server 1,Quadro P600,1,0.11,0,1.368,0,1.368
2,89799,tf_alexnet,130000,343,256,J90,JJ1,0,372298,0.0149993,46875.1,381902,45028,96.9552,0,0,n1,In-house server 2,GTX 1080Ti,1,1.13,0,2.01911,0,2.01911
2,89799,tf_resnet50,130000,86,64,J140,JJ2,44771,200028,0.00820137,57423.3,361924,45028,78.4142,44771,0,n1,In-house server 2,GTX 1080Ti,8,1.13,0,16.1529,0,16.1529
3,95796.5,tf_resnet50,130000,86,64,J140,JJ2,44771,200028,0.00820137,12395.3,78124.2,5997.53,80.0858,44771,0,n1,In-house server 3,Quadro P600,1,0.44,0,0.0733031,0,0.0733031
3,95796.5,tf_alexnet,130000,343,256,J90,JJ1,0,372298,0.0149993,1847.07,15048.5,5997.53,100,0,95796.5,n1,In-house server 3,Quadro P600,1,0.44,0,0.0733031,0,0.0733031
3,95796.5,pytorch_resnet50,130000,63,16,J46,JJ3,89799,463118,0.00898677,78756.1,363367,5997.53,3.61412,89799,0,n1,In-house server 3,Quadro P600,3,0.44,0,0.219909,0,0.219909
4,134553,tf_resnet50,130000,86,64,J140,JJ2,44771,200028,0.00820137,11435.4,72074.1,38756.5,90.7943,44771,0,n1,In-house server 1,Quadro P600,2,0.11,0,1.18423,0,1.18423
4,134553,pytorch_resnet50,130000,63,16,J46,JJ3,89799,463118,0.00898677,75909.8,350235,38756.5,21.7978,89799,0,n1,In-house server 1,Quadro P600,2,0.11,0,1.18423,0,1.18423
5,167581,pytorch_alexnet,130000,952,1024,J20,JJ4,134553,837933,0.00377904,49145.6,364215,33028.3,67.2051,134553,0,n1,In-house server 3,Quadro P600,3,0.44,0,1.0092,0,1.0092
5,167581,tf_resnet50,130000,86,64,J140,JJ2,44771,200028,0.00820137,5286.22,33317.6,33028.3,100,44771,167581,n1,In-house server 3,Quadro P600,1,0.44,0,0.336399,0,0.336399
5,167581,pytorch_resnet50,130000,63,16,J46,JJ3,89799,463118,0.00898677,61589,284161,33028.3,37.2939,89799,0,n1,In-house server 3,Quadro P600,2,0.44,0,0.672799,0,0.672799
6,180256,pytorch_resnet50,130000,63,16,J46,JJ3,89799,463118,0.00898677,49384.9,227853,12674.7,43.2406,89799,0,n1,In-house server 1,Quadro P600,2,0.11,0,0.0968207,0,0.0968207
6,180256,pytorch_alexnet,130000,952,1024,J20,JJ4,134553,837933,0.00377904,16117.3,119444,12674.7,74.9342,134553,0,n1,In-house server 1,Quadro P600,2,0.11,0,0.0968207,0,0.0968207
7,214891,pytorch_alexnet,130000,952,1024,J20,JJ4,134553,837933,0.00377904,12318.7,91293.3,34635.1,100,134553,214891,n1,Standard_NV24,M60,1,2.48,0,4.77194,0,4.77194
7,214891,tf_resnet50,130000,52,8,J141,JJ5,180256,329304,0.0132068,94687.4,403340,34635.1,30.3001,180256,0,n1,Standard_NV24,M60,1,2.48,0,4.77194,0,4.77194
7,214891,pytorch_resnet50,130000,63,16,J46,JJ3,89799,463118,0.00898677,44701.5,206245,34635.1,82.4951,89799,0,n1,Standard_NV24,M60,2,2.48,0,9.54389,0,9.54389
8,225394,pytorch_resnet50,130000,63,16,J46,JJ3,89799,463118,0.00898677,13786.1,63606.9,10502.9,94.3989,89799,0,n1,Standard_NV12,M60,2,1.24,0,1.80884,0,1.80884
8,225394,tf_resnet50,130000,52,8,J141,JJ5,180256,329304,0.0132068,65997,281128,10502.9,39.4885,180256,0,n1,Standard_NV12,M60,1,1.24,0,0.904418,0,0.904418
9,245747,tf_resnet50,130000,52,8,J141,JJ5,180256,329304,0.0132068,57296.7,244067,20352.6,44.7925,180256,0,n1,In-house server 3,Quadro P600,5,0.44,0,1.24377,0,1.24377
9,245747,pytorch_resnet50,130000,63,16,J46,JJ3,89799,463118,0.00898677,4411.21,20352.6,20352.6,100,89799,245747,n1,In-house server 1,Quadro P600,1,0.11,0,0.0621884,0,0.0621884
9,245747,pytorch_vgg19,130000,8111,32,J82,JJ6,225394,2.00865e+08,0.0149911,43200.5,1.81844e+08,20352.6,0.0160895,225394,0,n1,In-house server 3,Quadro P600,2,0.44,0,0.497507,0,0.497507
10,270472,pytorch_vgg19,130000,8111,32,J82,JJ6,225394,2.00865e+08,0.0149911,43193.6,1.81815e+08,24725.4,0.161857,225394,0,n1,Standard_NV12,M60,2,1.24,0,5.6777,0,5.6777
10,270472,tf_resnet50,130000,52,8,J141,JJ5,180256,329304,0.0132068,52274.5,222674,24725.4,66.4233,180256,0,n1,Standard_NV12,M60,1,1.24,0,2.83885,0,2.83885
11,308852,tf_resnet50,130000,52,8,J141,JJ5,180256,329304,0.0132068,31792.9,135428,38380.4,100,180256,308852,n1,Standard_NV24,M60,1,2.48,0,8.81327,0,8.81327
11,308852,pytorch_vgg19,130000,8111,32,J82,JJ6,225394,2.00865e+08,0.0149911,43130.6,1.8155e+08,38380.4,0.44472,225394,0,n1,Standard_NV24,M60,3,2.48,0,26.4398,0,26.4398
11,308852,tf_vgg19,130000,11,16,J166,JJ7,270472,772272,0.00739369,46791.5,661089,38380.4,51.8546,270472,0,n1,Standard_NV24,M60,1,2.48,0,8.81327,0,8.81327
12,315221,tf_vgg19,130000,11,16,J166,JJ7,270472,772272,0.00739369,22528,318284,6368.61,64.9444,270472,0,n1,In-house server 2,GTX 1080Ti,2,1.13,0,0.571153,0,0.571153
12,315221,pytorch_vgg19,130000,8111,32,J82,JJ6,225394,2.00865e+08,0.0149911,43008.4,1.81035e+08,6368.61,1.15896,225394,0,n1,In-house server 2,GTX 1080Ti,7,1.13,0,1.99904,0,1.99904
13,359949,pytorch_alexnet,130000,1240,1024,J16,JJ8,315221,1.10732e+06,0.0125995,64139.2,474510,44728,69.7358,315221,0,n1,In-house server 3,Quadro P600,3,0.44,0,8.20013,0,8.20013
13,359949,tf_vgg19,130000,11,16,J166,JJ7,270472,772272,0.00739369,16403,231748,44728,74.3176,270472,0,n1,In-house server 3,Quadro P600,2,0.44,0,5.46676,0,5.46676
13,359949,pytorch_vgg19,130000,8111,32,J82,JJ6,225394,2.00865e+08,0.0149911,42699.8,1.79737e+08,44728,1.19207,225394,0,n1,In-house server 1,Quadro P600,2,0.11,0,1.36669,0,1.36669
14,379360,tf_alexnet,130000,366,512,J95,JJ9,359949,545770,0.00855975,58474,483260,19411.2,10.2862,359949,0,n1,In-house server 3,Quadro P600,1,0.44,0,0.338925,0,0.338925
14,379360,pytorch_vgg19,130000,8111,32,J82,JJ6,225394,2.00865e+08,0.0149911,42685.5,1.79676e+08,19411.2,1.20742,225394,0,n1,In-house server 3,Quadro P600,2,0.44,0,0.677851,0,0.677851
14,379360,tf_vgg19,130000,11,16,J166,JJ7,270472,772272,0.00739369,12017.2,169784,19411.2,78.4034,270472,0,n1,In-house server 3,Quadro P600,1,0.44,0,0.338925,0,0.338925
