slot_number,sim_time,VM_type,NodeID,cost/node
1,44661,"In-house server 1,","n1,",1.36464
2,89866,"In-house server 2,","n1,",14.1894
3,95398.8,"In-house server 3,","n1,",0.540985
4,119015,"In-house server 2,","n1,",7.41278
5,134851,"In-house server 1,","n1,",0.322591
6,180115,"In-house server 3,","n1,",3.31936
7,183997,"In-house server 3,","n1,",0.474413
8,218871,"Standard_NC12,","n1,",8.21007
9,225169,"Standard_NV6,","n1,",1.08462
10,270312,"In-house server 2,","n1,",8.09707
11,292492,"Standard_NV24,","n1,",12.2238
12,315248,"In-house server 2,","n1,",4.08159
13,360205,"In-house server 3,","n1,",3.49666
14,379387,"In-house server 3,","n1,",1.82349
15,404833,"In-house server 3,","n1,",1.86603
16,417118,"In-house server 3,","n1,",0.900872
17,449987,"Standard_NV24,","n1,",18.1147
18,488863,"In-house server 3,","n1,",2.15976
19,808768,"In-house server 3,","n1,",19.5497
20,846063,"In-house server 2,","n1,",6.68946
21,883864,"In-house server 2,","n1,",6.32824
