n_iterate,sim_time,Application,Images,Epochs,Batchsize,Jobs,UniqueJobsID,SubmissionTime,Deadline,Tardinessweight,MinExecTime,MaxExecTime,ExecutionTime,CompletionPercent,StartTime,FinishTime,Nodes,VMType,GpuType,GpuNumber,cost,Tardiness,VMcost,TardinessCost,TotalCost
1,45272,tf_alexnet,130000,279,512,J111,JJ1,0,508208,0.00418968,44571.3,368373,45272,31.4755,0,0,n1,In-house server 1,Quadro P600,1,0.11,0,1.38331,0,1.38331
2,90301,tf_alexnet,130000,475,1024,J92,JJ2,45272,187960,0.00498911,71843.9,598714,45029,19.4811,45272,0,n1,In-house server 1,Quadro P600,1,0.11,0,1.37589,0,1.37589
2,90301,tf_alexnet,130000,279,512,J111,JJ1,0,508208,0.00418968,30542.3,252426,45029,62.782,0,0,n1,In-house server 1,Quadro P600,1,0.11,0,1.37589,0,1.37589
3,109238,tf_alexnet,130000,279,512,J111,JJ1,0,508208,0.00418968,16588.6,137101,18936.8,100,0,109238,n1,Standard_NV24,M60,1,2.48,0,4.34846,0,4.34846
3,109238,tf_alexnet,130000,475,1024,J92,JJ2,45272,187960,0.00498911,57847.9,482078,18936.8,42.5834,45272,0,n1,Standard_NV24,M60,1,2.48,0,4.34846,0,4.34846
3,109238,tf_alexnet,130000,232,128,J113,JJ3,90301,234589,0.0110549,48952.6,390266,18936.8,33.7922,90301,0,n1,Standard_NV24,M60,1,2.48,0,4.34846,0,4.34846
4,135362,tf_alexnet,130000,232,128,J113,JJ3,90301,234589,0.0110549,32410.4,258386,26124.2,80.41,90301,0,n1,Standard_NV12,M60,1,1.24,0,4.49916,0,4.49916
4,135362,tf_alexnet,130000,475,1024,J92,JJ2,45272,187960,0.00498911,41250.3,343761,26124.2,74.4539,45272,0,n1,Standard_NV12,M60,1,1.24,0,4.49916,0,4.49916
5,166792,tf_alexnet,130000,475,1024,J92,JJ2,45272,187960,0.00498911,18353.3,152948,31429.6,88.0515,45272,0,n1,In-house server 3,Quadro P600,1,0.44,0,0.548771,0,0.548771
5,166792,tf_alexnet,130000,232,128,J113,JJ3,90301,234589,0.0110549,9589.8,76452.9,31429.6,100,90301,166792,n1,In-house server 3,Quadro P600,1,0.44,0,0.548771,0,0.548771
5,166792,tf_alexnet,130000,366,512,J95,JJ4,135362,810602,0.0147667,58474,483260,31429.6,16.0338,135362,0,n1,In-house server 3,Quadro P600,2,0.44,0,1.09754,0,1.09754
