slot_number,sim_time,tardiness
1,44842,0
2,89834,0
3,108936,0
4,134773,0
5,166552,0
6,176357,0
7,180085,0
8,225114,0
9,270084,0
10,308175,0
11,314837,0
12,360093,0
13,404995,0
14,406334,0
15,450153,167836
16,485140,56419.3
17,495016,0
18,517613,0
19,540114,0
20,559917,0
21,584946,0
22,604035,0
23,630200,0
24,643245,0
25,652148,0
26,675029,0
27,695753,0
28,700935,0
29,719820,0
30,744332,0
31,764907,0
32,809917,0
33,854250,0
34,854324,0
35,855510,0
36,900273,0
37,917646,0
38,945092,0
39,975155,0
40,990290,0
41,998890,0
42,1.03553e+06,0
43,1.0809e+06,0
44,1.12637e+06,0
45,1.13573e+06,0
46,1.17146e+06,0
47,1.2167e+06,0
48,1.23622e+06,0
49,1.26177e+06,0
50,1.28441e+06,0
51,1.30669e+06,0
52,1.35209e+06,0
53,1.39661e+06,0
54,1.39691e+06,0
55,1.39918e+06,0
56,1.44192e+06,0
57,1.47737e+06,0
58,1.47857e+06,0
59,1.48725e+06,0
60,1.49857e+06,0
61,1.50035e+06,0
62,1.5324e+06,0
63,1.57738e+06,0
64,1.62249e+06,0
65,1.66788e+06,0
66,1.68516e+06,0
67,1.71295e+06,0
68,1.7191e+06,0
69,1.73041e+06,0
70,1.7563e+06,0
71,1.75785e+06,0
72,1.80268e+06,0
73,1.8137e+06,0
74,1.82901e+06,0
75,1.8474e+06,0
76,1.89244e+06,0
77,1.93736e+06,0
78,1.98244e+06,0
79,1.99581e+06,0
80,2.01479e+06,0
81,2.02747e+06,0
82,2.07261e+06,140320
83,2.11749e+06,155936
84,2.16262e+06,155936
85,2.18865e+06,57659.2
86,2.20775e+06,107503
87,2.25284e+06,6906.63
88,2.26042e+06,4512.17
89,2.267e+06,11097.7
90,2.26833e+06,12419.8
91,2.29768e+06,59197.9
92,2.31511e+06,59197.9
93,2.33623e+06,0
94,2.34287e+06,0
95,2.38794e+06,0
96,2.43275e+06,0
97,2.45615e+06,0
98,2.47638e+06,0
99,2.47773e+06,0
100,2.52288e+06,0
101,2.56798e+06,0
102,2.61323e+06,0
103,2.65833e+06,0
104,2.66156e+06,0
105,2.66779e+06,0
106,2.69243e+06,0
107,2.70344e+06,0
108,2.74832e+06,0
109,2.76762e+06,0
110,2.79299e+06,0
111,2.80407e+06,0
112,2.83792e+06,0
113,2.88294e+06,0
114,2.90084e+06,0
115,2.92778e+06,0
116,2.97253e+06,0
117,2.99272e+06,0
118,3.0126e+06,0
119,3.01716e+06,0
120,3.06194e+06,0
121,3.09027e+06,0
122,3.10733e+06,0
123,3.13559e+06,0
124,3.15236e+06,0
125,3.15993e+06,0
126,3.17423e+06,0
127,3.19737e+06,0
128,3.20532e+06,0
129,3.22347e+06,0
130,3.24203e+06,0
131,3.28671e+06,0
132,3.3318e+06,0
133,3.37657e+06,0
134,3.38386e+06,0
135,3.39282e+06,0
136,3.42176e+06,0
137,3.44679e+06,0
138,3.46648e+06,0
139,3.50969e+06,0
140,3.51145e+06,0
141,3.55615e+06,0
142,3.59788e+06,0
143,3.60116e+06,0
144,3.64585e+06,0
145,3.69053e+06,0
146,3.70396e+06,0
147,3.70558e+06,0
148,3.73586e+06,0
149,3.74434e+06,0
150,3.74562e+06,0
151,3.78074e+06,0
152,3.8258e+06,0
153,3.83242e+06,0
154,3.87096e+06,0
155,3.91642e+06,0
156,3.95504e+06,0
157,3.96168e+06,0
158,4.00668e+06,0
159,4.02309e+06,0
160,4.04224e+06,0
161,4.05174e+06,0
162,4.0553e+06,0
163,4.09676e+06,0
164,4.1414e+06,0
165,4.18632e+06,0
166,4.23139e+06,0
167,4.23153e+06,0
168,4.27672e+06,0
169,4.31412e+06,0
170,4.32191e+06,0
171,4.34467e+06,0
172,4.3669e+06,110442
173,4.39925e+06,26719.7
174,4.4121e+06,39987.3
175,4.41252e+06,39987.3
176,4.45707e+06,143205
177,4.47756e+06,105028
178,4.5006e+06,128068
179,4.50182e+06,179986
180,4.55252e+06,179986
181,4.59816e+06,225630
182,4.6226e+06,250071
183,4.66431e+06,0
184,4.70863e+06,0
185,4.74874e+06,0
186,4.8867e+06,0
187,5.21276e+06,0
188,5.28379e+06,472887
189,5.35233e+06,0
190,5.40525e+06,0
191,5.4504e+06,0
192,6.3655e+06,0
193,7.05709e+06,0
194,7.71827e+06,114467
195,8.26682e+06,663022
196,9.12492e+06,0
197,1.03496e+07,0
198,1.12569e+07,0
199,1.31037e+07,0
200,1.46875e+07,0
201,1.46942e+07,0
