slot_number,sim_time,VM_type,NodeID,cost/node
1,44936,"In-house server 1,","n1,",1.37304
2,90071,"In-house server 2,","n1,",14.1674
3,114923,"In-house server 2,","n1,",7.8008
4,120408,"In-house server 1,","n1,",0.3352
5,135099,"In-house server 1,","n1,",0.448886
6,180164,"In-house server 3,","n1,",4.13096
7,184245,"In-house server 3,","n1,",0.498734
8,225129,"In-house server 3,","n1,",4.99698
9,253312,"Standard_NV24,","n1,",19.4152
10,270443,"In-house server 2,","n1,",5.37713
11,315551,"Standard_NV24,","n1,",38.843
12,322334,"Standard_NV24,","n1,",5.84105
13,344458,"Standard_NV24,","n1,",15.2412
14,360367,"In-house server 3,","n1,",1.45828
15,398296,"In-house server 3,","n1,",3.47684
16,405445,"In-house server 2,","n1,",2.24392
17,450123,"In-house server 3,","n1,",3.4129
18,495070,"In-house server 3,","n1,",4.12014
19,509243,"Standard_NV24X,","n1,",12.2048
20,539992,"In-house server 3,","n1,",3.75818
21,585171,"In-house server 3,","n1,",5.52188
22,630379,"Standard_NV24X,","n1,",54.5007
23,660719,"Standard_NC24X,","n1,",33.0364
24,675425,"In-house server 3,","n1,",1.79745
25,720995,"In-house server 3,","n1,",5.56967
26,766241,"In-house server 3,","n1,",5.53008
27,811478,"In-house server 3,","n1,",5.52896
28,856442,"In-house server 3,","n1,",5.4956
29,861084,"In-house server 3,","n1,",0.567347
30,869169,"Standard_NV24X,","n1,",11.14
31,874160,"Standard_NV24X,","n1,",6.87541
32,889121,"Standard_NC24X,","n1,",18.6188
33,901264,"Standard_NV24X,","n1,",14.6389
34,920914,"Standard_NV24X,","n1,",27.073
35,928058,"Standard_NV24X,","n1,",8.61266
36,946019,"In-house server 3,","n1,",2.19525
37,991301,"In-house server 3,","n1,",5.53448
38,991592,"In-house server 2,","n1,",0.0913806
39,1.0097e+06,"In-house server 3,","n1,",2.21374
40,1.0366e+06,"In-house server 3,","n1,",3.2876
41,1.08154e+06,"In-house server 3,","n1,",5.49255
42,1.11928e+06,"Standard_NV24X,","n1,",51.993
43,1.12694e+06,"In-house server 2,","n1,",2.40348
44,1.17215e+06,"In-house server 3,","n1,",5.52628
45,1.21702e+06,"In-house server 3,","n1,",5.48411
46,1.26246e+06,"In-house server 3,","n1,",5.55376
47,1.27897e+06,"In-house server 3,","n1,",2.01788
48,1.30739e+06,"In-house server 3,","n1,",3.47369
49,1.35254e+06,"In-house server 3,","n1,",610.645
