slot_number,sim_time,VM_type,NodeID,cost/node
1,45034,"In-house server 1,","n1,",1.37604
2,89921,"In-house server 2,","n1,",14.0895
3,115021,"In-house server 2,","n1,",7.87864
4,121213,"In-house server 1,","n1,",0.378422
5,134643,"In-house server 1,","n1,",0.410347
6,179931,"In-house server 3,","n1,",4.1514
7,183789,"In-house server 3,","n1,",0.471479
8,224446,"In-house server 3,","n1,",4.96924
9,252763,"Standard_NV24,","n1,",19.5076
10,269325,"In-house server 2,","n1,",5.19849
11,314021,"Standard_NV24,","n1,",38.4882
12,321904,"Standard_NV24,","n1,",6.78775
13,343340,"Standard_NV24,","n1,",14.7676
14,359034,"In-house server 3,","n1,",1.43858
15,397031,"In-house server 3,","n1,",3.4831
16,404101,"In-house server 2,","n1,",2.21907
17,449161,"In-house server 3,","n1,",3.44208
18,494001,"In-house server 3,","n1,",4.11034
19,508147,"Standard_NV24X,","n1,",12.1813
20,538864,"In-house server 3,","n1,",3.75429
21,583773,"In-house server 3,","n1,",5.48888
22,628726,"Standard_NV24X,","n1,",54.1933
23,659543,"Standard_NC24X,","n1,",33.5564
24,673888,"In-house server 3,","n1,",1.75327
25,718825,"In-house server 3,","n1,",5.49229
26,763877,"In-house server 3,","n1,",5.50636
27,808601,"In-house server 3,","n1,",5.46627
28,853767,"In-house server 3,","n1,",5.52029
29,859735,"In-house server 3,","n1,",0.7294
30,868272,"Standard_NV24X,","n1,",11.7624
31,872797,"Standard_NV24X,","n1,",6.23376
32,886686,"Standard_NC24X,","n1,",17.2842
33,898568,"Standard_NV24X,","n1,",14.3249
34,919140,"Standard_NV24X,","n1,",28.3431
35,926203,"Standard_NV24X,","n1,",8.51501
36,943215,"In-house server 3,","n1,",2.07927
37,988127,"In-house server 3,","n1,",5.48924
38,988867,"In-house server 2,","n1,",0.23222
39,1.00806e+06,"In-house server 3,","n1,",2.34554
40,1.03287e+06,"In-house server 3,","n1,",3.03239
41,1.07727e+06,"In-house server 3,","n1,",5.42679
42,1.11566e+06,"Standard_NV24X,","n1,",52.9007
43,1.12215e+06,"In-house server 2,","n1,",2.03599
44,1.16703e+06,"In-house server 3,","n1,",5.48496
45,1.21195e+06,"In-house server 3,","n1,",5.49083
46,1.25686e+06,"In-house server 3,","n1,",5.48852
47,1.27483e+06,"In-house server 3,","n1,",2.19594
48,1.30145e+06,"In-house server 3,","n1,",556.27
49,1.34425e+06,"In-house server 3,","n1,",545.375
50,1.34639e+06,"In-house server 3,","n1,",0.2617
51,1.34652e+06,"Standard_NV24X,","n1,",0.172022
52,1.35631e+06,"In-house server 3,","n1,",1.19707
53,1.39092e+06,"In-house server 3,","n1,",4.22973
54,1.43572e+06,"Standard_NV24X,","n1,",61.7313
55,1.44113e+06,"Standard_NV24X,","n1,",7.44733
56,1.44632e+06,"Standard_NV24X,","n1,",7.14871
57,1.45428e+06,"Standard_NV24X,","n1,",10.9716
58,1.48099e+06,"In-house server 3,","n1,",3.26466
59,1.52591e+06,"Standard_NV24X,","n1,",61.8843
60,1.55503e+06,"Standard_NV24X,","n1,",40.1244
61,1.57114e+06,"In-house server 2,","n1,",5.05657
62,1.61603e+06,"Standard_NV24X,","n1,",61.8521
63,1.61616e+06,"In-house server 3,","n1,",0.0161786
64,1.6612e+06,"In-house server 3,","n1,",5.5044
65,1.70598e+06,"In-house server 3,","n1,",5.47251
66,1.75084e+06,"In-house server 3,","n1,",5.48399
67,1.77296e+06,"In-house server 3,","n1,",2.70273
68,1.79564e+06,"In-house server 3,","n1,",2.77209
69,1.80615e+06,"In-house server 2,","n1,",3.30005
70,1.84112e+06,"In-house server 3,","n1,",4.27356
71,1.886e+06,"In-house server 3,","n1,",5.48595
72,1.93083e+06,"In-house server 3,","n1,",5.47923
73,1.93372e+06,"In-house server 3,","n1,",0.353019
74,1.97573e+06,"In-house server 3,","n1,",5.13428
75,2.02042e+06,"In-house server 3,","n1,",5.46162
76,2.02477e+06,"In-house server 3,","n1,",0.532144
77,2.02634e+06,"In-house server 2,","n1,",0.492152
78,2.03282e+06,"In-house server 2,","n1,",2.03437
79,2.05149e+06,"In-house server 2,","n1,",46.204
80,2.06541e+06,"In-house server 3,","n1,",129.359
81,2.08026e+06,"In-house server 3,","n1,",129.473
82,2.09876e+06,"In-house server 2,","n1,",189.58
83,2.10224e+06,"In-house server 3,","n1,",0.425664
84,2.11011e+06,"In-house server 3,","n1,",0.961584
85,2.14057e+06,"In-house server 3,","n1,",3.72277
86,2.15504e+06,"In-house server 3,","n1,",1.76855
87,2.20013e+06,"Standard_NV24X,","n1,",62.1337
88,2.24499e+06,"Standard_NC24X,","n1,",55.8221
89,2.25442e+06,"In-house server 3,","n1,",1.15275
90,2.29004e+06,"In-house server 3,","n1,",4.35324
91,2.32056e+06,"In-house server 3,","n1,",3.73053
92,2.33498e+06,"In-house server 3,","n1,",1.76275
93,2.34263e+06,"In-house server 3,","n1,",0.935149
94,2.38038e+06,"In-house server 3,","n1,",4.61337
95,2.42551e+06,"In-house server 3,","n1,",5.516
96,2.47045e+06,"In-house server 3,","n1,",5.49217
97,2.48948e+06,"In-house server 3,","n1,",2.32595
98,2.51528e+06,"In-house server 3,","n1,",3.15413
99,2.53499e+06,"In-house server 3,","n1,",2.40891
100,2.54168e+06,"In-house server 3,","n1,",0.817023
101,2.56045e+06,"In-house server 3,","n1,",2.29411
102,2.60489e+06,"In-house server 3,","n1,",5.43144
103,2.63594e+06,"In-house server 3,","n1,",3.79501
104,2.63769e+06,"In-house server 3,","n1,",0.214096
105,2.65018e+06,"In-house server 3,","n1,",1.52683
106,2.66896e+06,"In-house server 3,","n1,",2.29466
107,2.695e+06,"In-house server 3,","n1,",3.18322
108,2.72254e+06,"Standard_NV24X,","n1,",37.9443
109,2.73851e+06,"Standard_NV24X,","n1,",22.0065
110,2.74003e+06,"Standard_NV24X,","n1,",2.08504
111,2.74692e+06,"Standard_NV24X,","n1,",9.49673
112,2.76611e+06,"Standard_NV24X,","n1,",26.4478
113,2.78503e+06,"Standard_NV24X,","n1,",26.0665
114,2.79553e+06,"Standard_NV24X,","n1,",14.4659
115,2.83e+06,"Standard_NV24X,","n1,",47.4886
116,2.87502e+06,"In-house server 3,","n1,",5.50232
117,2.91978e+06,"In-house server 3,","n1,",5.47043
118,2.94293e+06,"Standard_NV24X,","n1,",31.8931
119,2.96472e+06,"In-house server 3,","n1,",2.66417
120,2.96872e+06,"In-house server 3,","n1,",0.488551
121,2.98889e+06,"In-house server 3,","n1,",2.46557
122,3.01007e+06,"In-house server 3,","n1,",2.58842
123,3.0549e+06,"Standard_NV24X,","n1,",61.7575
124,3.08409e+06,"Standard_NV24X,","n1,",40.2197
125,3.09962e+06,"In-house server 3,","n1,",1.89826
126,3.13394e+06,"In-house server 3,","n1,",4.1948
127,3.14477e+06,"In-house server 3,","n1,",93.3023
128,3.18966e+06,"In-house server 2,","n1,",14.0886
129,3.23455e+06,"In-house server 3,","n1,",5.48668
130,3.2795e+06,"In-house server 3,","n1,",5.4945
131,3.3246e+06,"In-house server 3,","n1,",5.51161
132,3.34571e+06,"In-house server 3,","n1,",2.57999
133,3.36961e+06,"In-house server 3,","n1,",2.92208
134,3.4147e+06,"In-house server 3,","n1,",5.51112
135,3.41578e+06,"In-house server 3,","n1,",0.130871
136,3.43797e+06,"In-house server 2,","n1,",6.96746
137,3.4599e+06,"In-house server 3,","n1,",2.68034
138,3.48088e+06,"In-house server 2,","n1,",6.58533
139,3.50457e+06,"In-house server 3,","n1,",2.89538
140,3.50486e+06,"In-house server 3,","n1,",0.0347988
141,3.54997e+06,"In-house server 3,","n1,",5.51356
142,3.59491e+06,"In-house server 3,","n1,",5.49244
143,3.6281e+06,"Standard_NV24X,","n1,",45.7402
144,3.63989e+06,"Standard_NC24X,","n1,",14.6614
145,3.68478e+06,"In-house server 3,","n1,",5.48716
146,3.72685e+06,"In-house server 3,","n1,",5.14116
147,3.73021e+06,"In-house server 3,","n1,",0.410788
148,3.7434e+06,"In-house server 3,","n1,",1.61216
149,3.76564e+06,"In-house server 3,","n1,",2.71865
150,3.77536e+06,"In-house server 3,","n1,",1.18766
151,3.78044e+06,"In-house server 3,","n1,",0.62186
152,3.78377e+06,"Standard_NV24X,","n1,",4.57809
153,3.79357e+06,"In-house server 3,","n1,",1.19771
154,3.82003e+06,"In-house server 3,","n1,",3.23434
155,3.86479e+06,"In-house server 3,","n1,",5.4708
156,3.89411e+06,"In-house server 3,","n1,",3.58397
157,3.9077e+06,"In-house server 3,","n1,",1.66001
158,3.91e+06,"In-house server 3,","n1,",0.281932
159,3.95484e+06,"In-house server 3,","n1,",5.47972
160,3.99994e+06,"In-house server 3,","n1,",5.51296
161,4.04482e+06,"In-house server 3,","n1,",5.48508
162,4.05634e+06,"In-house server 3,","n1,",1.40812
163,4.07864e+06,"In-house server 3,","n1,",2.7251
164,4.09013e+06,"In-house server 3,","n1,",1.40454
165,4.13534e+06,"In-house server 3,","n1,",5.52516
166,4.16612e+06,"In-house server 3,","n1,",3.76208
167,4.18024e+06,"In-house server 3,","n1,",1.72582
168,4.20329e+06,"In-house server 3,","n1,",2.81754
169,4.2253e+06,"In-house server 3,","n1,",2.69003
170,4.24911e+06,"Standard_NV24X,","n1,",32.8119
171,4.26362e+06,"Standard_NV24X,","n1,",19.981
172,4.27041e+06,"Standard_NC24X,","n1,",8.45544
173,4.28815e+06,"Standard_NV24X,","n1,",24.4387
174,4.29e+06,"Standard_NV24X,","n1,",2.54482
175,4.30629e+06,"Standard_NV24X,","n1,",22.448
176,4.31549e+06,"Standard_NV24X,","n1,",12.6759
177,4.33348e+06,"Standard_NV24X,","n1,",24.7903
178,4.3426e+06,"In-house server 3,","n1,",1.11464
179,4.36055e+06,"In-house server 3,","n1,",2.19332
180,4.37482e+06,"In-house server 3,","n1,",1.74393
181,4.40544e+06,"In-house server 3,","n1,",3.74262
182,4.45063e+06,"In-house server 3,","n1,",5.52372
183,4.49068e+06,"In-house server 3,","n1,",4.89531
184,4.49541e+06,"In-house server 3,","n1,",0.578048
185,4.52387e+06,"In-house server 3,","n1,",3.47824
186,4.75676e+06,"In-house server 3,","n1,",28.4646
187,4.85317e+06,"In-house server 3,","n1,",11.7837
188,4.8605e+06,"In-house server 3,","n1,",0.895136
189,4.94112e+06,"In-house server 2,","n1,",25.3062
190,5.4112e+06,"In-house server 3,","n1,",57.4536
191,5.43766e+06,"In-house server 3,","n1,",3.23454
192,5.4762e+06,"In-house server 3,","n1,",4.71083
193,5.51228e+06,"In-house server 3,","n1,",4.40965
194,6.4412e+06,"In-house server 3,","n1,",113.535
195,6.63378e+06,"In-house server 3,","n1,",23.5377
196,6.64454e+06,"In-house server 2,","n1,",3.37571
197,8.53894e+06,"In-house server 3,","n1,",231.537
198,9.45517e+06,"In-house server 3,","n1,",111.984
199,1.02198e+07,"In-house server 3,","n1,",93.4494
200,1.11146e+07,"In-house server 2,","n1,",280.881
201,1.11535e+07,"In-house server 2,","n1,",12.2008
