slot_number,sim_time,tardiness
1,44936,0
2,90071,0
3,114923,0
4,120408,0
5,135099,0
6,180164,0
7,184245,0
8,225129,0
9,253312,0
10,270443,0
11,315551,0
12,322334,0
13,344458,0
14,360367,0
15,398296,0
16,405445,0
17,450123,0
18,495070,0
19,509243,0
20,539992,0
21,585171,0
22,630379,0
23,660719,0
24,675425,0
25,720995,0
26,766241,0
27,811478,0
28,856442,0
29,861084,0
30,869169,0
31,874160,0
32,889121,0
33,901264,0
34,920914,0
35,928058,0
36,946019,0
37,991301,0
38,991592,0
39,1.0097e+06,0
40,1.0366e+06,0
41,1.08154e+06,0
42,1.11928e+06,0
43,1.12694e+06,0
44,1.17215e+06,0
45,1.21702e+06,0
46,1.26246e+06,0
47,1.27897e+06,0
48,1.30739e+06,0
49,1.35254e+06,70327.1
50,1.35498e+06,70327.1
51,1.3586e+06,73948.8
52,1.38089e+06,0
53,1.39766e+06,0
54,1.44289e+06,0
55,1.47754e+06,0
56,1.48379e+06,0
57,1.48757e+06,0
58,1.49974e+06,0
59,1.53271e+06,0
60,1.56474e+06,0
61,1.57773e+06,0
62,1.61972e+06,0
63,1.62304e+06,0
64,1.66784e+06,0
65,1.71306e+06,0
66,1.75788e+06,0
67,1.77606e+06,0
68,1.80297e+06,0
69,1.84806e+06,0
70,1.86507e+06,0
71,1.88881e+06,0
72,1.89295e+06,0
73,1.93824e+06,0
74,1.97381e+06,0
75,1.98352e+06,0
76,2.02888e+06,0
77,2.03149e+06,0
78,2.04763e+06,4316.01
79,2.07412e+06,68679.5
80,2.07793e+06,34618.5
81,2.11906e+06,168144
82,2.16401e+06,168144
83,2.20867e+06,170783
84,2.24833e+06,205009
85,2.25387e+06,0
86,2.25596e+06,0
87,2.26239e+06,0
88,2.29622e+06,0
89,2.29857e+06,0
90,2.32023e+06,0
91,2.34343e+06,0
92,2.38846e+06,0
93,2.4335e+06,0
94,2.46875e+06,0
95,2.4787e+06,0
96,2.52373e+06,0
97,2.52693e+06,0
98,2.54151e+06,0
99,2.56858e+06,0
100,2.61338e+06,0
101,2.65203e+06,0
102,2.65813e+06,0
103,2.65867e+06,0
104,2.69226e+06,0
105,2.70377e+06,0
106,2.74884e+06,0
107,2.76242e+06,0
108,2.7854e+06,0
109,2.7941e+06,0
110,2.82427e+06,0
111,2.83923e+06,0
112,2.85733e+06,0
113,2.87408e+06,0
114,2.88431e+06,0
115,2.90631e+06,0
116,2.92951e+06,0
117,2.97476e+06,0
118,2.98554e+06,0
119,3.02e+06,0
120,3.0592e+06,0
121,3.06513e+06,0
122,3.09401e+06,0
123,3.09846e+06,0
124,3.10565e+06,0
125,3.11033e+06,0
126,3.15534e+06,0
127,3.20033e+06,0
128,3.24544e+06,0
129,3.29003e+06,0
130,3.33507e+06,0
131,3.36843e+06,0
132,3.38054e+06,0
133,3.42082e+06,0
134,3.42546e+06,0
135,3.47064e+06,0
136,3.47111e+06,0
137,3.4913e+06,0
138,3.50152e+06,0
139,3.51586e+06,0
140,3.56062e+06,0
141,3.57611e+06,0
142,3.5797e+06,0
143,3.60549e+06,0
144,3.62015e+06,0
145,3.65037e+06,0
146,3.69265e+06,0
147,3.6955e+06,0
148,3.72164e+06,0
149,3.74044e+06,0
150,3.75334e+06,0
151,3.78537e+06,0
152,3.81918e+06,0
153,3.83018e+06,0
154,3.85119e+06,0
155,3.87358e+06,0
156,3.87513e+06,0
157,3.91973e+06,0
158,3.93279e+06,0
159,3.96491e+06,0
160,4.0003e+06,0
161,4.0097e+06,0
162,4.05432e+06,0
163,4.06519e+06,0
164,4.09919e+06,0
165,4.1442e+06,0
166,4.17619e+06,0
167,4.18902e+06,0
168,4.2137e+06,0
169,4.22544e+06,0
170,4.234e+06,0
171,4.25833e+06,0
172,4.26782e+06,0
173,4.27897e+06,0
174,4.28676e+06,0
175,4.31088e+06,0
176,4.32384e+06,0
177,4.33442e+06,0
178,4.34716e+06,0
179,4.36905e+06,0
180,4.37962e+06,0
181,4.41386e+06,0
182,4.45881e+06,0
183,4.48504e+06,0
184,4.50412e+06,0
185,4.76932e+06,0
186,4.79939e+06,0
187,4.81654e+06,0
188,4.90926e+06,0
189,4.97687e+06,0
190,5.01464e+06,0
191,5.76602e+06,0
192,5.76893e+06,0
193,5.85041e+06,0
194,6.57471e+06,0
195,7.75326e+06,0
196,8.05881e+06,0
197,9.06837e+06,0
198,9.96455e+06,0
199,1.07918e+07,0
200,1.16872e+07,0
201,1.17263e+07,0
