n_iterate,sim_time,Application,Images,Epochs,Batchsize,Jobs,UniqueJobsID,SubmissionTime,Deadline,Tardinessweight,MinExecTime,MaxExecTime,ExecutionTime,CompletionPercent,StartTime,FinishTime,Nodes,VMType,GpuType,GpuNumber,cost,Tardiness,VMcost,TardinessCost,TotalCost
1,44999,tf_alexnet,130000,343,256,J90,JJ1,0,372298,0.0149993,60663.3,494238,44999,22.8448,0,0,n1,In-house server 1,Quadro P600,1,0.11,0,1.37497,0,1.37497
2,89857,tf_alexnet,130000,343,256,J90,JJ1,0,372298,0.0149993,46804.9,381330,44858,96.7907,0,0,n1,In-house server 2,GTX 1080Ti,1,1.13,0,1.76005,0,1.76005
2,89857,tf_resnet50,130000,86,64,J140,JJ2,44999,200256,0.00820137,57423.3,361924,44858,64.0947,44999,0,n1,In-house server 2,GTX 1080Ti,7,1.13,0,12.3204,0,12.3204
3,96178.5,tf_resnet50,130000,86,64,J140,JJ2,44999,200256,0.00820137,20618,129950,6321.53,66.0708,44999,0,n1,In-house server 3,Quadro P600,6,0.44,0,0.515087,0,0.515087
3,96178.5,tf_alexnet,130000,343,256,J90,JJ1,0,372298,0.0149993,1946.85,15861.5,6321.53,100,0,96178.5,n1,In-house server 3,Quadro P600,1,0.44,0,0.0858479,0,0.0858479
3,96178.5,pytorch_resnet50,130000,63,16,J46,JJ3,89857,463176,0.00898677,78756.1,363367,6321.53,1.73971,89857,0,n1,In-house server 3,Quadro P600,1,0.44,0,0.0858479,0,0.0858479
4,119925,pytorch_resnet50,130000,63,16,J46,JJ3,89857,463176,0.00898677,77386,357046,23746.1,27.1462,89857,0,n1,In-house server 2,GTX 1080Ti,1,1.13,0,0.931704,0,0.931704
4,119925,tf_resnet50,130000,86,64,J140,JJ2,44999,200256,0.00820137,19483.3,122798,23746.1,100,44999,119925,n1,In-house server 2,GTX 1080Ti,7,1.13,0,6.52193,0,6.52193
5,134863,pytorch_resnet50,130000,63,16,J46,JJ3,89857,463176,0.00898677,57376.8,264727,14938.4,34.1549,89857,0,n1,In-house server 1,Quadro P600,2,0.11,0,0.3043,0,0.3043
6,180024,pytorch_resnet50,130000,63,16,J46,JJ3,89857,463176,0.00898677,51857,239259,45161,61.369,89857,0,n1,In-house server 3,Quadro P600,3,0.44,0,1.6559,0,1.6559
6,180024,pytorch_alexnet,130000,952,1024,J20,JJ4,134863,838243,0.00377904,49145.6,364215,45161,91.8923,134863,0,n1,In-house server 3,Quadro P600,3,0.44,0,1.6559,0,1.6559
7,193319,pytorch_resnet50,130000,63,16,J46,JJ3,89857,463176,0.00898677,30424.3,140372,13295.4,67.6069,89857,0,n1,In-house server 3,Quadro P600,2,0.44,0,0.324998,0,0.324998
7,193319,tf_resnet50,130000,52,8,J141,JJ5,180024,329072,0.0132068,94687.4,403340,13295.4,3.43909,180024,0,n1,In-house server 3,Quadro P600,4,0.44,0,0.649995,0,0.649995
7,193319,pytorch_alexnet,130000,952,1024,J20,JJ4,134863,838243,0.00377904,3984.55,29529.3,13295.4,100,134863,193319,n1,In-house server 3,Quadro P600,2,0.44,0,0.324998,0,0.324998
8,224387,pytorch_resnet50,130000,63,16,J46,JJ3,89857,463176,0.00898677,25511.6,117706,31067.6,100,89857,224387,n1,Standard_NC12,K80,2,1.13,0,4.87589,0,4.87589
8,224387,tf_resnet50,130000,52,8,J141,JJ5,180024,329072,0.0132068,91431,389469,31067.6,26.9629,180024,0,n1,Standard_NC12,K80,1,1.13,0,2.43794,0,2.43794
9,225209,tf_resnet50,130000,52,8,J141,JJ5,180024,329072,0.0132068,69156.9,294588,822.06,27.682,180024,0,n1,Standard_NV6,M60,1,0.62,0,0.141577,0,0.141577
10,293685,tf_resnet50,130000,52,8,J141,JJ5,180024,329072,0.0132068,68476,291687,68476,100,180024,293685,n1,In-house server 2,GTX 1080Ti,1,1.13,0,1.53527,0,1.53527
10,293685,pytorch_vgg19,130000,8111,32,J82,JJ6,225209,2.00865e+08,0.0149911,43200.5,1.81844e+08,68476,7.67963,225209,0,n1,In-house server 2,GTX 1080Ti,7,1.13,0,10.7469,0,10.7469
11,333568,pytorch_vgg19,130000,8111,32,J82,JJ6,225209,2.00865e+08,0.0149911,39882.9,1.67879e+08,39882.9,100,225209,333568,n1,In-house server 2,GTX 1080Ti,8,1.13,0,6.67669,0,6.67669
