n_iterate,sim_time,Application,Images,Epochs,Batchsize,Jobs,UniqueJobsID,SubmissionTime,Deadline,Tardinessweight,MinExecTime,MaxExecTime,ExecutionTime,CompletionPercent,StartTime,FinishTime,Nodes,VMType,GpuType,GpuNumber,cost,Tardiness,VMcost,TardinessCost,TotalCost
1,4463,tf_alexnet,130000,279,512,J111,JJ1,0,508208,0.00418968,44571.3,368373,4463,3.10291,0,0,n1,In-house server 1,Quadro P600,1,0.11,0,0.136369,0,0.136369
2,9084,tf_alexnet,130000,279,512,J111,JJ1,0,508208,0.00418968,43188.3,356943,4621,6.31567,0,0,n2,In-house server 1,Quadro P600,1,0.11,0,0.141197,0,0.141197
2,9084,tf_alexnet,130000,475,1024,J92,JJ2,4463,147151,0.00498911,71843.9,598714,4621,5.63746,4463,0,n1,Standard_NV6,M60,1,0.62,0,0.795839,0,0.795839
3,13458,tf_alexnet,130000,279,512,J111,JJ1,0,508208,0.00418968,41756.3,345108,4374,9.35671,0,0,n2,In-house server 1,Quadro P600,1,0.11,0,0.13365,0,0.13365
3,13458,tf_alexnet,130000,475,1024,J92,JJ2,4463,147151,0.00498911,67793.7,564962,4374,10.9736,4463,0,n1,Standard_NV12,M60,1,1.24,0,0.7533,0,0.7533
3,13458,tf_alexnet,130000,232,128,J113,JJ3,9084,153372,0.0110549,48952.6,390266,4374,7.80527,9084,0,n1,Standard_NV12,M60,1,1.24,0,0.7533,0,0.7533
4,18059,tf_alexnet,130000,366,512,J95,JJ4,13458,688698,0.0147667,58474,483260,4601,2.43812,13458,0,n2,In-house server 1,Quadro P600,1,0.11,0,0.140586,0,0.140586
4,18059,tf_alexnet,130000,279,512,J111,JJ1,0,508208,0.00418968,40400.9,333906,4601,12.5556,0,0,n2,In-house server 1,Quadro P600,1,0.11,0,0.140586,0,0.140586
4,18059,tf_alexnet,130000,475,1024,J92,JJ2,4463,147151,0.00498911,63960,533014,4601,16.5866,4463,0,n1,Standard_NV12,M60,1,1.24,0,0.792394,0,0.792394
4,18059,tf_alexnet,130000,232,128,J113,JJ3,9084,153372,0.0110549,45131.7,359804,4601,16.0156,9084,0,n1,Standard_NV12,M60,1,1.24,0,0.792394,0,0.792394
5,22573,tf_vgg19,130000,14,32,J176,JJ5,18059,945912,0.00573196,45374.5,685012,4514,6.34747,18059,0,n1,Standard_NV12,M60,1,1.24,0,0.777411,0,0.777411
5,22573,tf_alexnet,130000,366,512,J95,JJ4,13458,688698,0.0147667,57048.4,471477,4514,4.83014,13458,0,n2,In-house server 3,Quadro P600,1,0.44,0,0.110342,0,0.110342
5,22573,tf_alexnet,130000,279,512,J111,JJ1,0,508208,0.00418968,38975.1,322122,4514,15.6939,0,0,n2,In-house server 3,Quadro P600,1,0.44,0,0.110342,0,0.110342
5,22573,tf_alexnet,130000,475,1024,J92,JJ2,4463,147151,0.00498911,59927.4,499407,4514,22.0936,4463,0,n1,Standard_NV12,M60,1,1.24,0,0.777411,0,0.777411
5,22573,tf_alexnet,130000,232,128,J113,JJ3,9084,153372,0.0110549,41112.5,327762,4514,18.8292,9084,0,n2,In-house server 3,Quadro P600,1,0.44,0,0.110342,0,0.110342
6,27078,tf_vgg19,130000,14,32,J176,JJ5,18059,945912,0.00573196,42494.3,641531,4505,12.6823,18059,0,n1,Standard_NV12,M60,1,1.24,0,0.775861,0,0.775861
6,27078,tf_alexnet,130000,339,512,J119,JJ6,22573,230680,0.0111425,54156,447591,4505,2.5778,22573,0,n2,In-house server 3,Quadro P600,1,0.44,0,0.0786587,0,0.0786587
6,27078,tf_alexnet,130000,475,1024,J92,JJ2,4463,147151,0.00498911,55971,466437,4505,27.5895,4463,0,n1,Standard_NV12,M60,1,1.24,0,0.775861,0,0.775861
6,27078,tf_alexnet,130000,232,128,J113,JJ3,9084,153372,0.0110549,39735.2,316782,4505,21.6371,9084,0,n2,In-house server 3,Quadro P600,1,0.44,0,0.0786587,0,0.0786587
6,27078,tf_alexnet,130000,279,512,J111,JJ1,0,508208,0.00418968,37576.3,310561,4505,18.826,0,0,n2,In-house server 3,Quadro P600,1,0.44,0,0.0786587,0,0.0786587
6,27078,tf_alexnet,130000,366,512,J95,JJ4,13458,688698,0.0147667,55649.7,459918,4505,7.21739,13458,0,n2,In-house server 3,Quadro P600,1,0.44,0,0.0786587,0,0.0786587
7,31513,tf_vgg19,130000,14,32,J176,JJ5,18059,945912,0.00573196,39619.9,598136,4435,18.9187,18059,0,n1,Standard_NV24,M60,1,2.48,0,1.01841,0,1.01841
7,31513,tf_alexnet,130000,366,512,J95,JJ4,13458,688698,0.0147667,54253.7,448381,4435,9.56754,13458,0,n2,In-house server 3,Quadro P600,1,0.44,0,0.0774365,0,0.0774365
7,31513,tf_resnet50,130000,60,16,J126,JJ7,27078,185714,0.0148885,71039.9,342376,4435,4.07938,27078,0,n1,Standard_NV24,M60,1,2.48,0,1.01841,0,1.01841
7,31513,tf_alexnet,130000,475,1024,J92,JJ2,4463,147151,0.00498911,52022.5,433532,4435,33.0001,4463,0,n1,Standard_NV24,M60,1,2.48,0,1.01841,0,1.01841
7,31513,tf_alexnet,130000,279,512,J111,JJ1,0,508208,0.00418968,36180.3,299023,4435,21.9095,0,0,n2,In-house server 3,Quadro P600,1,0.44,0,0.0774365,0,0.0774365
7,31513,tf_alexnet,130000,232,128,J113,JJ3,9084,153372,0.0110549,38360.6,305823,4435,24.4015,9084,0,n2,In-house server 3,Quadro P600,1,0.44,0,0.0774365,0,0.0774365
7,31513,tf_alexnet,130000,339,512,J119,JJ6,22573,230680,0.0111425,52760,436053,4435,5.11555,22573,0,n2,In-house server 3,Quadro P600,1,0.44,0,0.0774365,0,0.0774365
