n_iterate,sim_time,Application,Images,Epochs,Batchsize,Jobs,UniqueJobsID,SubmissionTime,Deadline,Tardinessweight,MinExecTime,MaxExecTime,ExecutionTime,CompletionPercent,StartTime,FinishTime,Nodes,VMType,GpuType,GpuNumber,cost,Tardiness,VMcost,TardinessCost,TotalCost
1,4451,tf_alexnet,130000,399,256,J106,JJ1,0,1.13664e+06,0.0137715,70558.1,574933,4451,1.94279,0,0,n1,In-house server 1,Quadro P600,1,0.11,0,0.136003,0,0.136003
2,8905,pytorch_vgg19,130000,149,8,J65,JJ2,4451,7.21034e+06,0.0108931,43269.4,7.08002e+06,4454,0.377923,4451,0,n1,In-house server 1,Quadro P600,1,0.11,0,0.136094,0,0.136094
2,8905,tf_alexnet,130000,399,256,J106,JJ1,0,1.13664e+06,0.0137715,69187.3,563763,4454,3.8869,0,0,n1,In-house server 1,Quadro P600,1,0.11,0,0.136094,0,0.136094
3,13428,pytorch_vgg19,130000,149,8,J65,JJ2,4451,7.21034e+06,0.0108931,43105.8,7.05326e+06,4523,0.7617,4451,0,n1,In-house server 1,Quadro P600,1,0.11,0,0.138203,0,0.138203
3,13428,tf_alexnet,130000,399,256,J106,JJ1,0,1.13664e+06,0.0137715,67815.6,552586,4523,5.86112,0,0,n1,In-house server 1,Quadro P600,1,0.11,0,0.138203,0,0.138203
3,13428,pytorch_vgg19,130000,8111,32,J82,JJ3,8905,1.41582e+08,0.00437808,43200.5,1.81844e+08,4523,10.4698,8905,0,n2,In-house server 2,GTX 1080Ti,8,1.13,0,0.757184,0,0.757184
4,17991,pytorch_vgg19,130000,8111,32,J82,JJ3,8905,1.41582e+08,0.00437808,38677.5,1.62805e+08,4563,21.0322,8905,0,n2,In-house server 2,GTX 1080Ti,8,1.13,0,0.818443,0,0.818443
4,17991,tf_alexnet,130000,343,256,J90,JJ4,13428,389716,0.00685291,60663.3,494238,4563,2.31652,13428,0,n1,In-house server 3,Quadro P600,1,0.44,0,0.11154,0,0.11154
4,17991,tf_alexnet,130000,399,256,J106,JJ1,0,1.13664e+06,0.0137715,66422.7,541236,4563,7.8528,0,0,n1,In-house server 3,Quadro P600,1,0.44,0,0.11154,0,0.11154
4,17991,pytorch_vgg19,130000,149,8,J65,JJ2,4451,7.21034e+06,0.0108931,42939.8,7.02609e+06,4563,1.14887,4451,0,n1,In-house server 3,Quadro P600,1,0.44,0,0.11154,0,0.11154
