n_iterate,sim_time,Application,Images,Epochs,Batchsize,Jobs,UniqueJobsID,SubmissionTime,Deadline,Tardinessweight,MinExecTime,MaxExecTime,ExecutionTime,CompletionPercent,StartTime,FinishTime,Nodes,VMType,GpuType,GpuNumber,cost,Tardiness,VMcost,TardinessCost,TotalCost
1,4049,tf_alexnet,130000,279,512,J111,JJ1,0,508208,0.00418968,44571.3,368373,4049,2.81508,0,0,n1,In-house server 1,Quadro P600,1,0.11,0,0.123719,0,0.123719
2,8209,tf_alexnet,130000,279,512,J111,JJ1,0,508208,0.00418968,43316.6,358003,4160,5.70733,0,0,n2,In-house server 1,Quadro P600,1,0.11,0,0.127111,0,0.127111
2,8209,tf_alexnet,130000,475,1024,J92,JJ2,4049,146737,0.00498911,71843.9,598714,4160,5.07506,4049,0,n1,Standard_NV6,M60,1,0.62,0,0.716444,0,0.716444
3,12293,tf_alexnet,130000,232,128,J113,JJ3,8209,152497,0.0110549,48952.6,390266,4084,7.28778,8209,0,n1,Standard_NV6,M60,1,0.62,0,0.703356,0,0.703356
3,12293,tf_alexnet,130000,279,512,J111,JJ1,0,508208,0.00418968,42027.5,347349,4084,8.54674,0,0,n3,In-house server 1,Quadro P600,1,0.11,0,0.124789,0,0.124789
3,12293,tf_alexnet,130000,475,1024,J92,JJ2,4049,146737,0.00498911,68197.7,568329,4084,9.55623,4049,0,n2,Standard_NC6,K80,1,0.56,0,0.635289,0,0.635289
4,16391,tf_alexnet,130000,366,512,J95,JJ4,12293,687533,0.0147667,58474,483260,4098,2.09059,12293,0,n2,In-house server 3,Quadro P600,2,0.44,0,0.200347,0,0.200347
4,16391,tf_alexnet,130000,232,128,J113,JJ3,8209,152497,0.0110549,45385,361824,4098,14.6005,8209,0,n3,Standard_NV6,M60,1,0.62,0,0.705767,0,0.705767
4,16391,tf_alexnet,130000,475,1024,J92,JJ2,4049,146737,0.00498911,64978.3,541500,4098,14.0528,4049,0,n1,Standard_NC6,K80,1,0.56,0,0.637467,0,0.637467
4,16391,tf_alexnet,130000,279,512,J111,JJ1,0,508208,0.00418968,40761.9,336889,4098,11.3959,0,0,n2,In-house server 3,Quadro P600,1,0.44,0,0.100173,0,0.100173
5,20420,tf_vgg19,130000,14,32,J176,JJ5,16391,944244,0.00573196,45374.5,685012,4029,0.894685,16391,0,n2,In-house server 3,Quadro P600,1,0.44,0,0.0984867,0,0.0984867
5,20420,tf_alexnet,130000,366,512,J95,JJ4,12293,687533,0.0147667,57251.6,473157,4029,4.2256,12293,0,n2,In-house server 3,Quadro P600,1,0.44,0,0.0984867,0,0.0984867
5,20420,tf_alexnet,130000,232,128,J113,JJ3,8209,152497,0.0110549,41805.2,333285,4029,21.7902,8209,0,n1,Standard_NV12,M60,1,1.24,0,0.693883,0,0.693883
5,20420,tf_alexnet,130000,475,1024,J92,JJ2,4049,146737,0.00498911,61747.8,514578,4029,18.968,4049,0,n1,Standard_NV12,M60,1,1.24,0,0.693883,0,0.693883
5,20420,tf_alexnet,130000,279,512,J111,JJ1,0,508208,0.00418968,39492,326394,4029,14.1971,0,0,n2,In-house server 3,Quadro P600,1,0.44,0,0.0984867,0,0.0984867
6,24439,tf_alexnet,130000,366,512,J95,JJ4,12293,687533,0.0147667,56003.2,462839,4019,6.35531,12293,0,n2,In-house server 3,Quadro P600,1,0.44,0,0.0350865,0,0.0350865
6,24439,tf_alexnet,130000,339,512,J119,JJ6,20420,228527,0.0111425,54156,447591,4019,2.29971,20420,0,n2,In-house server 3,Quadro P600,1,0.44,0,0.0350865,0,0.0350865
6,24439,tf_alexnet,130000,475,1024,J92,JJ2,4049,146737,0.00498911,58216.5,485150,4019,23.8711,4049,0,n1,Standard_NV6,M60,1,0.62,0,0.692161,0,0.692161
6,24439,tf_alexnet,130000,232,128,J113,JJ3,8209,152497,0.0110549,38285.7,305226,4019,24.2952,8209,0,n2,In-house server 3,Quadro P600,1,0.44,0,0.0350865,0,0.0350865
6,24439,tf_alexnet,130000,279,512,J111,JJ1,0,508208,0.00418968,38243.5,316075,4019,16.8871,0,0,n2,In-house server 3,Quadro P600,2,0.44,0,0.070173,0,0.070173
6,24439,tf_vgg19,130000,14,32,J176,JJ5,16391,944244,0.00573196,44968.5,678883,4019,1.78715,16391,0,n2,In-house server 3,Quadro P600,1,0.44,0,0.0350865,0,0.0350865
7,28586,tf_vgg19,130000,14,32,J176,JJ5,16391,944244,0.00573196,44563.5,672769,4147,2.70804,16391,0,n2,In-house server 3,Quadro P600,1,0.44,0,0.0460778,0,0.0460778
7,28586,tf_alexnet,130000,279,512,J111,JJ1,0,508208,0.00418968,37044.5,306166,4147,19.7703,0,0,n2,In-house server 3,Quadro P600,1,0.44,0,0.0460778,0,0.0460778
7,28586,tf_alexnet,130000,232,128,J113,JJ3,8209,152497,0.0110549,37059.5,295450,4147,26.88,8209,0,n2,In-house server 3,Quadro P600,1,0.44,0,0.0460778,0,0.0460778
7,28586,tf_alexnet,130000,339,512,J119,JJ6,20420,228527,0.0111425,52910.6,437298,4147,4.67266,20420,0,n2,In-house server 3,Quadro P600,1,0.44,0,0.0460778,0,0.0460778
7,28586,tf_alexnet,130000,475,1024,J92,JJ2,4049,146737,0.00498911,54694,455795,4147,28.9303,4049,0,n1,Standard_NV6,M60,1,0.62,0,0.714206,0,0.714206
7,28586,tf_resnet50,130000,60,16,J126,JJ7,24439,183075,0.0148885,71039.9,342376,4147,3.36945,24439,0,n3,Standard_NC6,K80,1,0.56,0,0.645089,0,0.645089
7,28586,tf_alexnet,130000,366,512,J95,JJ4,12293,687533,0.0147667,54757.8,452547,4147,8.4709,12293,0,n2,In-house server 3,Quadro P600,2,0.44,0,0.0921556,0,0.0921556
8,32518,tf_alexnet,130000,370,1024,J108,JJ8,28586,690673,0.00541212,55949.6,466232,3932,2.18553,28586,0,n2,In-house server 3,Quadro P600,1,0.44,0,0.0369675,0,0.0369675
8,32518,tf_vgg19,130000,14,32,J176,JJ5,16391,944244,0.00573196,44145.7,666461,3932,3.58118,16391,0,n2,In-house server 3,Quadro P600,1,0.44,0,0.0369675,0,0.0369675
8,32518,tf_alexnet,130000,475,1024,J92,JJ2,4049,146737,0.00498911,51059.3,425505,3932,33.2446,4049,0,n1,Standard_NC12,K80,1,1.13,0,0.617106,0,0.617106
8,32518,tf_resnet50,130000,60,16,J126,JJ7,24439,183075,0.0148885,68646.2,330840,3932,6.56421,24439,0,n1,Standard_NC12,K80,1,1.13,0,0.617106,0,0.617106
8,32518,tf_alexnet,130000,366,512,J95,JJ4,12293,687533,0.0147667,53520.8,442323,3932,10.4768,12293,0,n2,In-house server 3,Quadro P600,2,0.44,0,0.073935,0,0.073935
8,32518,tf_alexnet,130000,279,512,J111,JJ1,0,508208,0.00418968,35759.4,295545,3932,22.504,0,0,n2,In-house server 3,Quadro P600,1,0.44,0,0.0369675,0,0.0369675
8,32518,tf_alexnet,130000,232,128,J113,JJ3,8209,152497,0.0110549,35794.1,285362,3932,29.3308,8209,0,n2,In-house server 3,Quadro P600,1,0.44,0,0.0369675,0,0.0369675
8,32518,tf_alexnet,130000,339,512,J119,JJ6,20420,228527,0.0111425,51625.5,426677,3932,6.92259,20420,0,n2,In-house server 3,Quadro P600,1,0.44,0,0.0369675,0,0.0369675
9,36631,tf_alexnet,130000,339,512,J119,JJ6,20420,228527,0.0111425,50407,416606,4113,9.27608,20420,0,n2,In-house server 3,Quadro P600,1,0.44,0,0.0335133,0,0.0335133
9,36631,tf_alexnet,130000,370,1024,J108,JJ8,28586,690673,0.00541212,54726.8,456043,4113,4.47167,28586,0,n2,In-house server 3,Quadro P600,1,0.44,0,0.0335133,0,0.0335133
9,36631,tf_alexnet,130000,366,512,J95,JJ4,12293,687533,0.0147667,52347.8,432630,4113,12.575,12293,0,n2,In-house server 3,Quadro P600,2,0.44,0,0.0670267,0,0.0670267
9,36631,tf_alexnet,130000,475,1024,J92,JJ2,4049,146737,0.00498911,47959.6,399674,4113,37.7576,4049,0,n1,Standard_NC12,K80,1,1.13,0,0.645512,0,0.645512
9,36631,tf_alexnet,130000,232,128,J113,JJ3,8209,152497,0.0110549,34594.4,275797,4113,31.8944,8209,0,n2,In-house server 3,Quadro P600,1,0.44,0,0.0335133,0,0.0335133
9,36631,tf_alexnet,130000,279,512,J111,JJ1,0,508208,0.00418968,34541,285474,4113,25.3636,0,0,n2,In-house server 3,Quadro P600,1,0.44,0,0.0335133,0,0.0335133
9,36631,tf_resnet50,130000,60,16,J126,JJ7,24439,183075,0.0148885,66376.7,319902,4113,9.90603,24439,0,n1,Standard_NC12,K80,1,1.13,0,0.645512,0,0.645512
9,36631,tf_vgg19,130000,14,32,J176,JJ5,16391,944244,0.00573196,43749.5,660480,4113,4.49452,16391,0,n2,In-house server 3,Quadro P600,1,0.44,0,0.0335133,0,0.0335133
9,36631,tf_resnet50,130000,88,32,J139,JJ9,32518,458410,0.0127378,73911.4,412607,4113,0.998266,32518,0,n2,In-house server 3,Quadro P600,1,0.44,0,0.0335133,0,0.0335133
10,40709,tf_resnet50,130000,88,32,J139,JJ9,32518,458410,0.0127378,73173.6,408488,4078,2.06082,32518,0,n4,In-house server 3,Quadro P600,5,0.44,0,0.249211,0,0.249211
10,40709,tf_vgg19,130000,14,32,J176,JJ5,16391,944244,0.00573196,43335.1,654224,4078,5.40009,16391,0,n4,In-house server 3,Quadro P600,1,0.44,0,0.0498422,0,0.0498422
10,40709,tf_alexnet,130000,370,1024,J108,JJ8,28586,690673,0.00541212,53447.7,445384,4078,6.73835,28586,0,n2,In-house server 3,Quadro P600,1,0.44,0,0.0356016,0,0.0356016
10,40709,tf_alexnet,130000,366,512,J95,JJ4,12293,687533,0.0147667,51120.9,422490,4078,14.736,12293,0,n2,In-house server 3,Quadro P600,1,0.44,0,0.0356016,0,0.0356016
10,40709,pytorch_resnet50,130000,47,8,J57,JJ10,36631,624854,0.00511418,80870.9,298475,4078,1.36628,36631,0,n2,In-house server 3,Quadro P600,1,0.44,0,0.0356016,0,0.0356016
10,40709,tf_alexnet,130000,339,512,J119,JJ6,20420,228527,0.0111425,49132.5,406072,4078,11.6096,20420,0,n2,In-house server 3,Quadro P600,1,0.44,0,0.0356016,0,0.0356016
10,40709,tf_resnet50,130000,60,16,J126,JJ7,24439,183075,0.0148885,64002.7,308460,4078,13.2194,24439,0,n1,Standard_NC6,K80,1,0.56,0,0.634356,0,0.634356
10,40709,tf_alexnet,130000,475,1024,J92,JJ2,4049,146737,0.00498911,44717.3,372654,4078,42.7327,4049,0,n3,Standard_NV6,M60,1,0.62,0,0.702322,0,0.702322
10,40709,tf_alexnet,130000,232,128,J113,JJ3,8209,152497,0.0110549,33339.4,265793,4078,34.3667,8209,0,n2,In-house server 3,Quadro P600,2,0.44,0,0.0712032,0,0.0712032
10,40709,tf_alexnet,130000,279,512,J111,JJ1,0,508208,0.00418968,33266.4,274940,4078,28.0931,0,0,n2,In-house server 3,Quadro P600,2,0.44,0,0.0712032,0,0.0712032
11,44878,tf_alexnet,130000,366,512,J95,JJ4,12293,687533,0.0147667,49857.3,412047,4169,16.9452,12293,0,n3,In-house server 3,Quadro P600,1,0.44,0,0.0391957,0,0.0391957
11,44878,tf_alexnet,130000,370,1024,J108,JJ8,28586,690673,0.00541212,52179.5,434816,4169,8.96382,28586,0,n3,In-house server 3,Quadro P600,2,0.44,0,0.0783915,0,0.0783915
11,44878,pytorch_resnet50,130000,47,8,J57,JJ10,36631,624854,0.00511418,79766,294397,4169,3.3817,36631,0,n3,In-house server 3,Quadro P600,2,0.44,0,0.0783915,0,0.0783915
11,44878,pytorch_alexnet,130000,1171,128,J29,JJ11,40709,342625,0.00643143,45776.3,530755,4169,1.38108,40709,0,n2,In-house server 3,Quadro P600,2,0.44,0,0.0727921,0,0.0727921
11,44878,tf_resnet50,130000,60,16,J126,JJ7,24439,183075,0.0148885,61648.8,297116,4169,17.0541,24439,0,n1,Standard_NV12,M60,1,1.24,0,0.717994,0,0.717994
11,44878,tf_alexnet,130000,475,1024,J92,JJ2,4049,146737,0.00498911,41143.1,342868,4169,47.8187,4049,0,n1,Standard_NV12,M60,1,1.24,0,0.717994,0,0.717994
11,44878,tf_alexnet,130000,339,512,J119,JJ6,20420,228527,0.0111425,47868.8,395628,4169,13.9061,20420,0,n2,In-house server 3,Quadro P600,2,0.44,0,0.0727921,0,0.0727921
11,44878,tf_alexnet,130000,279,512,J111,JJ1,0,508208,0.00418968,32049.8,264886,4169,30.9916,0,0,n2,In-house server 3,Quadro P600,1,0.44,0,0.036396,0,0.036396
11,44878,tf_alexnet,130000,232,128,J113,JJ3,8209,152497,0.0110549,32129.2,256144,4169,36.9652,8209,0,n2,In-house server 3,Quadro P600,1,0.44,0,0.036396,0,0.036396
11,44878,tf_vgg19,130000,14,32,J176,JJ5,16391,944244,0.00573196,42924.2,648020,4169,6.32586,16391,0,n3,In-house server 3,Quadro P600,1,0.44,0,0.0391957,0,0.0391957
11,44878,tf_resnet50,130000,88,32,J139,JJ9,32518,458410,0.0127378,72388.2,404104,4169,3.07122,32518,0,n2,In-house server 3,Quadro P600,2,0.44,0,0.0727921,0,0.0727921
12,48930,pytorch_alexnet,130000,2889,256,J2,JJ12,44878,823968,0.00319846,43207.1,1.19316e+06,4052,9.37809,44878,0,n4,In-house server 3,Quadro P600,4,0.44,0,0.198098,0,0.198098
12,48930,tf_resnet50,130000,88,32,J139,JJ9,32518,458410,0.0127378,71641.4,399935,4052,4.05468,32518,0,n2,In-house server 3,Quadro P600,1,0.44,0,0.0353746,0,0.0353746
12,48930,tf_vgg19,130000,14,32,J176,JJ5,16391,944244,0.00573196,42504.1,641679,4052,7.22565,16391,0,n2,In-house server 3,Quadro P600,1,0.44,0,0.0353746,0,0.0353746
12,48930,tf_resnet50,130000,60,16,J126,JJ7,24439,183075,0.0148885,58924.7,283987,4052,20.3464,24439,0,n1,Standard_NC12,K80,1,1.13,0,0.635939,0,0.635939
12,48930,tf_alexnet,130000,475,1024,J92,JJ2,4049,146737,0.00498911,37489.1,312417,4052,52.2648,4049,0,n1,Standard_NC12,K80,1,1.13,0,0.635939,0,0.635939
12,48930,tf_alexnet,130000,339,512,J119,JJ6,20420,228527,0.0111425,46625,385348,4052,16.2247,20420,0,n2,In-house server 3,Quadro P600,1,0.44,0,0.0353746,0,0.0353746
12,48930,tf_alexnet,130000,232,128,J113,JJ3,8209,152497,0.0110549,30857.2,246003,4052,39.4217,8209,0,n2,In-house server 3,Quadro P600,2,0.44,0,0.0707492,0,0.0707492
12,48930,tf_alexnet,130000,279,512,J111,JJ1,0,508208,0.00418968,30757.9,254208,4052,33.8088,0,0,n2,In-house server 3,Quadro P600,1,0.44,0,0.0353746,0,0.0353746
12,48930,pytorch_alexnet,130000,1171,128,J29,JJ11,40709,342625,0.00643143,45144.1,523425,4052,10.2328,40709,0,n3,In-house server 3,Quadro P600,5,0.44,0,0.275136,0,0.275136
12,48930,pytorch_resnet50,130000,47,8,J57,JJ10,36631,624854,0.00511418,78136.1,288382,4052,5.34057,36631,0,n2,In-house server 3,Quadro P600,2,0.44,0,0.0707492,0,0.0707492
12,48930,tf_alexnet,130000,370,1024,J108,JJ8,28586,690673,0.00541212,50934.4,424440,4052,11.1268,28586,0,n3,In-house server 3,Quadro P600,2,0.44,0,0.110054,0,0.110054
12,48930,tf_alexnet,130000,366,512,J95,JJ4,12293,687533,0.0147667,48565.5,401370,4052,19.0123,12293,0,n4,In-house server 3,Quadro P600,2,0.44,0,0.0990489,0,0.0990489
