slot_number,sim_time,VM_type,NodeID,cost/node
1,22347,"In-house server 1,","n1,",0.682825
2,44910,"In-house server 1,","n1,",1.37885
3,67380,"In-house server 2,In-house server 3,","n2,n1,",8.88397
4,88110.5,"In-house server 2,In-house server 3,","n2,n1,",8.09065
5,89843,"In-house server 1,In-house server 2,","n1,n2,",0.649686
6,112415,"In-house server 3,","n1,",2.0691
7,134607,"Standard_NC6,In-house server 3,","n1,n2,",5.8254
8,157272,"Standard_NC6,In-house server 3,","n1,n2,",6.29584
9,166895,"In-house server 3,","n1,n2,",2.05827
10,179805,"In-house server 3,","n2,n1,",2.95853
11,202350,"In-house server 3,","n1,n2,",4.82212
12,223019,"In-house server 3,","n1,n2,",4.42096
13,224872,"In-house server 2,In-house server 3,","n2,n1,",0.807936
14,228622,"Standard_NV6,In-house server 3,","n1,n2,",1.1042
15,266554,"Standard_NV6,In-house server 3,","n1,n2,",11.169
16,337428,"In-house server 2,In-house server 3,","n2,n1,",28.7432
17,354881,"In-house server 3,In-house server 2,","n1,n2,",7.61142
18,371320,"In-house server 2,In-house server 3,","n2,n1,",7.16902
19,382424,"In-house server 2,In-house server 3,","n1,n2,",4.67323
20,411063,"In-house server 2,In-house server 3,","n1,n2,",12.4896
21,503810,"In-house server 2,","n1,",29.1124
