n_iterate,sim_time,Application,Images,Epochs,Batchsize,Jobs,UniqueJobsID,SubmissionTime,Deadline,Tardinessweight,MinExecTime,MaxExecTime,ExecutionTime,CompletionPercent,StartTime,FinishTime,Nodes,VMType,GpuType,GpuNumber,cost,Tardiness,VMcost,TardinessCost,TotalCost
1,14942,tf_alexnet,130000,343,256,J90,JJ1,0,372298,0.0149993,60663.3,494238,14942,7.58567,0,0,n1,In-house server 1,Quadro P600,1,0.11,0,0.456561,0,0.456561
2,30054,tf_alexnet,130000,343,256,J90,JJ1,0,372298,0.0149993,56061.6,456746,15112,15.2576,0,0,n2,In-house server 1,Quadro P600,1,0.11,0,0.461756,0,0.461756
2,30054,tf_resnet50,130000,86,64,J140,JJ2,14942,170199,0.00820137,57423.3,361924,15112,26.3169,14942,0,n1,In-house server 2,GTX 1080Ti,8,1.13,0,4.74349,0,4.74349
3,45045,pytorch_resnet50,130000,63,16,J46,JJ3,30054,403373,0.00898677,78756.1,363367,14991,7.03343,30054,0,n3,In-house server 1,Quadro P600,2,0.11,0,0.458058,0,0.458058
3,45045,tf_resnet50,130000,86,64,J140,JJ2,14942,170199,0.00820137,42311.3,266677,14991,52.423,14942,0,n1,In-house server 2,GTX 1080Ti,8,1.13,0,4.70551,0,4.70551
3,45045,tf_alexnet,130000,343,256,J90,JJ1,0,372298,0.0149993,51407.5,418829,14991,22.8682,0,0,n2,In-house server 1,Quadro P600,1,0.11,0,0.458058,0,0.458058
4,60073,pytorch_alexnet,130000,952,1024,J20,JJ4,45045,748425,0.00377904,49145.6,364215,0,0,45045,0,,,,0,0,0,0,0,0
4,60073,pytorch_resnet50,130000,63,16,J46,JJ3,30054,403373,0.00898677,73216.8,337810,15028,14.0842,30054,0,n3,In-house server 1,Quadro P600,2,0.11,0,0.459189,0,0.459189
4,60073,tf_resnet50,130000,86,64,J140,JJ2,14942,170199,0.00820137,27320.3,172192,15028,78.5936,14942,0,n1,In-house server 2,GTX 1080Ti,8,1.13,0,4.71712,0,4.71712
4,60073,tf_alexnet,130000,343,256,J90,JJ1,0,372298,0.0149993,46790.7,381214,15028,30.4975,0,0,n2,In-house server 1,Quadro P600,1,0.11,0,0.459189,0,0.459189
5,75249,pytorch_resnet50,130000,63,16,J46,JJ3,30054,403373,0.00898677,67663.9,312190,15176,21.2045,30054,0,n3,In-house server 1,Quadro P600,2,0.11,0,0.463711,0,0.463711
5,75249,tf_alexnet,130000,343,256,J90,JJ1,0,372298,0.0149993,42162.5,343507,15176,38.202,0,0,n2,In-house server 1,Quadro P600,1,0.11,0,0.231856,0,0.231856
5,75249,pytorch_alexnet,130000,952,1024,J20,JJ4,45045,748425,0.00377904,49145.6,364215,0,0,45045,0,,,,0,0,0,0,0,0
5,75249,tf_resnet50,130000,52,8,J141,JJ5,60073,209121,0.0132068,94687.4,403340,15176,13.2766,60073,0,n1,Standard_NV6,M60,1,0.62,0,2.61364,0,2.61364
5,75249,tf_resnet50,130000,86,64,J140,JJ2,14942,170199,0.00820137,12292.3,77475,15176,82.8234,14942,0,n2,In-house server 1,Quadro P600,1,0.11,0,0.231856,0,0.231856
6,90322,pytorch_vgg19,130000,8111,32,J82,JJ6,75249,2.00715e+08,0.0149911,43200.5,1.81844e+08,0,0,75249,0,,,,0,0,0,0,0,0
6,90322,pytorch_resnet50,130000,63,16,J46,JJ3,30054,403373,0.00898677,62056.3,286317,15073,28.2764,30054,0,n3,In-house server 1,Quadro P600,2,0.11,0,0.460564,0,0.460564
6,90322,tf_alexnet,130000,343,256,J90,JJ1,0,372298,0.0149993,37488.7,305429,15073,45.8542,0,0,n2,In-house server 1,Quadro P600,1,0.11,0,0.230282,0,0.230282
6,90322,pytorch_alexnet,130000,952,1024,J20,JJ4,45045,748425,0.00377904,49145.6,364215,0,0,45045,0,,,,0,0,0,0,0,0
