slot_number,sim_time,tardiness
1,15165,0
2,30068,0
3,45087,0
4,60275,0
5,75228,0
6,90123,0
7,105099,0
8,120096,0
9,135361,0
10,137684,0
11,146084,0
12,150446,0
13,164010,0
14,165577,0
15,180683,0
16,195651,0
17,197552,0
18,210650,0
19,225664,0
20,230254,0
21,232608,0
22,240900,0
23,252993,0
24,256069,0
25,270945,0
26,277349,0
27,285303,0
28,285989,0
29,301097,0
30,316269,0
31,329971,0
32,331368,0
33,339121,0
34,346353,0
35,348262,0
36,359485,0
37,361309,0
38,371819,0
39,376474,0
40,391200,0
41,391875,0
42,395576,0
43,406100,0
44,411530,0
45,413158,0
46,421094,0
47,435907,0
48,450927,0
49,465049,0
50,503709,0
51,536245,0
52,545046,0
53,561471,0
54,589813,0
55,617832,0
56,631751,0
57,634565,0
58,656312,0
59,666858,0
60,717774,0
61,869226,0
