slot_number,sim_time,tardiness
1,15125,0
2,30172,0
3,45027,0
4,60007,0
5,75051,0
6,90002,0
7,104663,0
8,105016,0
9,119956,0
10,134931,0
11,138752,0
12,149879,0
13,164792,0
14,175082,0
15,179801,0
16,194733,0
17,207463,0
18,209631,0
19,224625,0
20,230418,0
21,239590,0
22,248094,0
23,254452,0
24,269517,0
25,281730,0
26,284431,0
27,299433,0
28,308596,0
29,314395,0
30,324679,0
31,329530,0
32,344487,0
33,353345,0
34,359549,0
35,362308,0
36,374461,0
37,389340,0
38,404288,0
39,419311,0
40,420857,0
41,427363,0
42,434476,0
43,449530,0
44,464738,0
45,493664,0
46,509854,0
47,510055,0
48,521887,0
49,522318,0
50,528981,0
51,547162,0
52,567452,0
53,593351,0
54,633487,0
55,656256,0
56,663353,0
57,700139,0
58,705225,0
59,737299,0
60,771854,0
61,854809,0
