slot_number,sim_time,VM_type,NodeID,cost/node
1,15054,"In-house server 2,","n1,",2.52015
2,29963,"In-house server 3,","n1,",1.27555
3,44932,"In-house server 3,","n1,",0.997933
4,59777,"In-house server 3,","n1,",1.15461
5,74842,"In-house server 3,In-house server 1,","n1,n2,",1.79943
6,76696,"In-house server 3,","n2,n1,",0.377663
7,89742,"In-house server 3,","n1,",1.06301
8,104694,"In-house server 3,","n2,n1,",2.08854
9,119748,"In-house server 3,","n1,n2,",2.44209
10,130745,"In-house server 3,In-house server 1,","n2,n3,n1,",2.80027
11,134739,"In-house server 1,In-house server 3,","n2,n3,n1,",0.894859
12,149583,"In-house server 3,","n1,n2,n3,",4.17046
13,152949,"In-house server 3,","n1,n2,n3,",0.950749
14,164627,"In-house server 2,In-house server 3,","n1,n3,n2,",4.15889
15,178977,"In-house server 2,In-house server 3,","n3,n2,n1,",6.80297
16,179539,"In-house server 3,In-house server 2,","n2,n3,n1,",0.307466
17,190121,"In-house server 2,In-house server 3,","n1,n3,n2,",4.70097
18,194472,"In-house server 2,In-house server 3,","n1,n2,n3,",2.12498
19,209456,"In-house server 2,In-house server 3,","n2,n3,n1,",7.12665
20,224437,"In-house server 2,In-house server 3,","n2,n3,n1,",4.81611
21,231649,"In-house server 2,In-house server 3,","n3,n2,n1,",3.17874
22,239402,"In-house server 2,In-house server 3,","n1,n3,n2,",2.85308
23,254447,"In-house server 2,In-house server 3,","n2,n3,n1,",7.11055
24,269609,"In-house server 2,In-house server 3,","n2,n3,n1,",4.6561
25,273601,"In-house server 2,In-house server 3,","n1,n3,n2,",1.8356
26,284437,"In-house server 2,In-house server 3,","n3,n2,n1,",3.32761
27,285785,"In-house server 2,In-house server 3,","n2,n3,n1,",0.594067
28,299273,"In-house server 3,","n2,n3,n1,",3.40702
29,314262,"In-house server 2,In-house server 3,","n3,n2,n1,",6.72879
30,329214,"Standard_NC6,In-house server 3,","n1,n3,n2,",4.27517
31,341004,"Standard_NV12,In-house server 3,","n1,n3,n2,",5.70763
32,344412,"In-house server 3,Standard_NV12,","n1,n2,n3,",1.35663
33,359351,"In-house server 2,Standard_NC24X,In-house server 3,","n1,n3,n2,",15.6476
34,374693,"In-house server 3,Standard_NV24X,","n1,n2,n3,",14.2202
35,377896,"In-house server 3,","n1,n2,n3,",0.824023
36,381594,"In-house server 3,","n1,n3,n2,",0.951208
37,389517,"In-house server 3,","n1,n3,n2,",2.07511
38,404494,"In-house server 3,","n1,n3,n2,",3.92255
39,411993,"Standard_NC24X,In-house server 3,","n1,n2,n3,",6.45825
40,413695,"In-house server 3,Standard_NC24X,","n1,n2,n3,",1.40321
41,416937,"In-house server 3,Standard_NV24X,","n1,n3,n2,",3.00418
42,419503,"Standard_NV12,In-house server 3,","n2,n3,n1,",1.00952
43,434445,"Standard_NC24,In-house server 3,","n2,n3,n1,",10.1721
44,438644,"In-house server 3,Standard_NC24X,Standard_NV24X,","n2,n3,n1,",6.34611
45,449515,"Standard_NV24,In-house server 3,","n2,n3,n1,",8.19074
46,458532,"In-house server 3,Standard_NC24X,","n3,n2,n1,",7.52194
47,464505,"Standard_NC24,In-house server 3,","n2,n3,n1,",4.12005
48,466290,"Standard_NV24X,In-house server 3,","n1,n3,n2,",1.58328
49,469554,"In-house server 3,Standard_NC24,Standard_NV24X,","n3,n2,n1,",4.89121
50,479616,"Standard_NV24X,In-house server 2,In-house server 3,","n1,n3,n2,",11.3258
51,494559,"In-house server 3,Standard_NC24,Standard_NV24X,","n3,n2,n1,",20.4455
52,509630,"In-house server 3,Standard_NC24,Standard_NV24X,","n1,n3,n2,",19.9765
53,510153,"In-house server 3,Standard_NC24,Standard_NV24X,","n3,n2,n1,",0.682866
54,524506,"In-house server 2,In-house server 3,Standard_NV24X,","n2,n3,n1,",15.9872
55,539571,"In-house server 3,Standard_NV24X,","n3,n2,n1,",13.4561
56,551583,"In-house server 3,Standard_NV24X,","n1,n3,n2,",10.5889
57,554814,"In-house server 3,Standard_NV24X,","n3,n2,n1,",2.86613
58,569666,"In-house server 3,Standard_NV24X,","n3,n2,n1,",13.0238
59,576446,"In-house server 3,Standard_NV24X,","n1,n3,n2,",5.89747
60,584773,"In-house server 3,Standard_NV24X,","n1,n3,n2,",7.42705
61,592319,"In-house server 3,Standard_NC24X,","n3,n2,n1,",6.06259
62,599848,"In-house server 3,Standard_NV24X,","n3,n2,n1,",6.71496
63,604414,"In-house server 3,Standard_NC24X,","n3,n2,n1,",3.69701
64,614653,"In-house server 3,Standard_NV24X,","n3,n2,n1,",9.61209
65,616099,"In-house server 3,Standard_NV24X,","n1,n3,n2,",1.25749
66,629573,"In-house server 3,Standard_NV24X,","n3,n2,n1,",11.8785
67,640497,"In-house server 3,Standard_NV24X,","n3,n2,n1,",9.52824
68,644558,"In-house server 3,Standard_NV24,","n3,n2,n1,",2.92755
69,657868,"In-house server 3,Standard_NV24X,","n1,n3,n2,",11.6394
70,659576,"In-house server 3,Standard_NV24X,","n1,n2,n3,",1.48591
71,674697,"In-house server 2,Standard_NV24X,In-house server 3,","n2,n3,n1,",16.8431
72,691395,"In-house server 3,Standard_NV24X,","n1,n3,n2,",14.5248
73,710945,"In-house server 3,In-house server 2,Standard_NV24X,","n1,n2,n3,",21.7768
74,731526,"In-house server 2,In-house server 3,","n1,n3,n2,",9.23874
75,752059,"In-house server 2,In-house server 3,","n1,n2,n3,",9.45681
76,759265,"In-house server 3,","n1,n3,n2,",1.69741
77,807987,"In-house server 3,In-house server 2,","n1,n3,n2,",22.099
78,833366,"In-house server 3,In-house server 2,","n1,n2,n3,",11.3928
79,838628,"In-house server 3,","n1,n3,n2,",1.23955
80,842030,"In-house server 3,In-house server 2,","n1,n3,n2,",1.67517
81,850751,"In-house server 3,In-house server 2,","n1,n3,n2,",6.04296
82,870858,"In-house server 2,In-house server 3,","n1,n3,n2,",10.9883
83,880298,"In-house server 3,In-house server 2,","n2,n3,n1,",5.44573
84,918702,"In-house server 2,In-house server 3,","n1,n3,n2,",19.4308
85,919395,"In-house server 2,In-house server 3,","n1,n3,n2,",0.347879
86,931752,"In-house server 2,In-house server 3,","n2,n3,n1,",5.52337
87,959387,"In-house server 1,In-house server 2,In-house server 3,","n1,n3,n2,",12.1645
88,974813,"In-house server 2,","n2,n3,n1,",12.4509
89,1.01568e+06,"In-house server 1,In-house server 2,","n2,n3,n1,",20.9172
90,1.03872e+06,"In-house server 2,In-house server 1,","n1,n2,",5.15462
91,1.08167e+06,"In-house server 2,","n1,",7.1895
