slot_number,sim_time,tardiness
1,1279,0
2,2544,0
3,3829,0
4,5209,0
5,6502,0
6,7786,0
7,9075,0
8,10441,0
9,11745,0
10,13083,0
11,14408,0
12,15695,0
13,17055,0
14,18418,0
15,19693,0
16,21044,0
17,22326,0
18,23631,0
19,24944,0
20,26249,0
21,27547,0
22,28764,0
23,30107,0
24,31496,0
25,32877,0
26,34189,0
27,35436,0
28,36715,0
29,38032,0
30,39387,0
31,40777,0
32,42065,0
33,43362,0
34,44702,0
35,46035,0
36,47368,0
37,48683,0
38,50046,0
39,51403,0
40,52711,0
41,53957,0
42,55318,0
43,56615,0
44,57615.1,0
45,57931,0
46,58859.3,0
47,58899.4,0
48,59265,0
49,60526,0
50,61829,0
51,63167,0
52,64511,0
53,65791,0
54,67145,0
55,68038.2,0
56,68521,0
57,69842,0
58,70842,0
59,71200,0
60,72606,0
61,73310.2,0
62,73879,0
63,75218,0
64,76324,0
65,76550,0
66,77397.6,0
67,77894,0
68,79213,0
69,80566,0
70,81914,0
71,83226,0
72,84518,0
73,85835,0
74,87215,0
75,87908,0
76,88504,0
77,89782,0
78,91059,0
79,92367,0
80,93662,0
81,94984,0
82,96311,0
83,97640,0
84,98955,0
85,100204,0
86,101138,0
87,101537,0
88,102832,0
89,102876,0
90,104150,0
91,105435,0
92,106743,0
93,106900,0
94,107715,0
95,108095,0
96,108994,0
97,109465,0
98,110763,0
99,112079,0
100,113106,0
101,113381,0
102,114667,0
103,116012,0
104,117366,0
105,118680,0
106,119971,0
107,121349,0
108,122687,0
109,123766,0
110,124008,0
111,125071,0
112,125394,0
113,126693,0
114,128083,0
115,129388,0
116,130753,0
117,132116,0
118,132983,0
119,133436,0
120,134542,0
121,134725,0
122,136059,0
123,137414,0
124,138796,0
125,140126,0
126,141463,0
127,142780,0
128,143415,0
129,143672,0
130,143833,0
131,144067,0
132,144748,0
133,145439,0
134,145840,0
135,146076,0
136,146735,0
137,148017,0
138,149337,0
139,150646,0
140,151948,0
141,153261,0
142,154670,0
143,154765,0
144,154786,0
145,155966,0
146,156296,0
147,157299,0
148,157595,0
149,157952,0
150,158652,0
151,160026,0
152,161343,0
153,162739,0
154,163175,0
155,163482,0
156,164060,0
157,164886,0
158,165359,0
159,166635,0
160,167828,0
161,167957,0
162,169231,0
163,169893,0
164,170461,0
165,171780,0
166,172602,0
167,173044,0
168,174395,0
169,175749,0
170,177063,0
171,178350,0
172,179210,0
173,179726,0
174,181123,0
175,181263,0
176,182007,0
177,182448,0
178,183711,0
179,185052,0
180,186385,0
181,187693,0
182,188976,0
183,188985,0
184,190019,0
185,190230,0
186,190914,0
187,191488,0
188,192540,0
189,192784,0
190,193860,0
191,194144,0
192,194508,0
193,195445,0
194,196735,0
195,198115,0
196,199411,0
197,200746,0
198,202116,0
199,202385,0
200,203085,0
201,203432,0
202,204557,0
203,204756,0
204,205802,0
205,205838,0
206,205928,0
207,206127,0
208,207419,0
209,208529,0
210,208744,0
211,210062,0
212,211313,0
213,211821,0
214,212539,0
215,212578,0
216,212666,0
217,214024,0
218,215346,0
219,215351,0
220,215455,0
221,216757,0
222,218131,0
223,218326,0
224,219313,0
225,219386,0
