slot_number,sim_time,VM_type,NodeID,cost/node
1,11162,"In-house server 1,","n1,",0.341061
2,22570,"In-house server 1,","n1,",0.348578
3,33829,"In-house server 1,In-house server 2,","n2,n3,n1,",7.41216
4,45021,"In-house server 1,In-house server 2,","n1,n3,n2,",7.36806
5,56204,"In-house server 1,In-house server 2,","n1,n4,n2,n3,",7.70384
6,67316,"Standard_NV6,In-house server 2,In-house server 1,","n1,n4,n3,n2,",9.22912
7,72279.9,"In-house server 2,In-house server 1,Standard_NV6,","n4,n1,n2,n3,",2.71634
8,78614,"Standard_NV6,In-house server 1,In-house server 3,","n1,n3,n2,n4,",2.25214
9,89723,"In-house server 1,","n4,n1,n2,n3,",1.35777
10,101109,"In-house server 3,In-house server 1,","n4,n1,n2,n3,",2.43534
11,112471,"In-house server 3,In-house server 1,","n4,n1,n2,n3,",2.4302
12,123703,"Standard_NV6,In-house server 1,","n4,n2,n3,n1,",2.964
13,134922,"In-house server 1,","n4,n1,n2,n3,",1.37121
14,183807,"In-house server 3,In-house server 1,In-house server 2,","n4,n1,n3,n2,",24.3067
15,234112,"In-house server 1,","n4,n3,n2,n1,",6.14841
16,251059,"In-house server 3,In-house server 1,Standard_NC6,","n3,n2,n1,n4,",5.74312
17,280661,"In-house server 2,In-house server 1,Standard_NV6,","n4,n1,n2,n3,",16.1987
18,301685,"In-house server 2,In-house server 1,","n1,n3,n2,n4,",8.52666
19,320393,"In-house server 2,In-house server 1,In-house server 3,","n3,n2,n1,n4,",14.602
20,323315,"In-house server 3,In-house server 2,In-house server 1,","n1,n4,n3,n2,",1.45308
21,338562,"In-house server 1,In-house server 2,In-house server 3,","n1,n4,n2,n3,",11.9015
22,338628,"In-house server 1,In-house server 2,Standard_NC6,","n4,n2,n3,n1,",0.0536561
23,347377,"In-house server 2,In-house server 1,Standard_NC6,","n1,n2,n3,",4.37449
24,358887,"In-house server 1,","n1,n2,",0.703362
25,371662,"In-house server 1,","n1,",0.390352
