slot_number,sim_time,tardiness
1,11305,0
2,22363,0
3,33795,0
4,45046,0
5,56153,0
6,67672,0
7,78978,0
8,90036,0
9,101226,0
10,112404,0
11,123645,0
12,134903,0
13,146040,0
14,146260,0
15,157443,0
16,161811,0
17,168755,0
18,179976,0
19,180271,0
20,191097,0
21,202292,0
22,203980,0
23,213573,0
24,224540,0
25,246699,0
26,257922,0
27,279201,0
28,279561,0
29,293302,0
30,314350,0
31,324111,0
32,345370,0
33,410765,0
34,449336,0
35,474857,0
36,515750,0
37,527516,0
38,540298,0
39,567676,0
40,570347,0
41,595930,0
