slot_number,sim_time,VM_type,NodeID,cost/node
1,11154,"In-house server 1,","n1,",0.340817
2,22528,"In-house server 1,","n1,",0.695078
3,33999,"In-house server 2,In-house server 1,","n2,n1,",2.62134
4,45173,"In-house server 3,In-house server 2,","n1,n2,",2.82366
5,56344,"In-house server 3,In-house server 2,","n1,n2,",2.89412
6,65728.5,"In-house server 2,In-house server 3,Standard_NC6,","n1,n3,n2,",3.83374
7,67596,"Standard_NC6,In-house server 3,","n2,n1,",0.404624
8,78873,"Standard_NC6,In-house server 3,","n1,n3,n2,",3.25501
9,90015,"Standard_NC6,In-house server 3,","n1,n2,n3,",3.36736
10,101146,"In-house server 1,In-house server 3,","n1,n2,n3,",2.39175
11,112379,"In-house server 3,In-house server 2,","n1,n4,n2,n3,",5.08397
12,121447,"Standard_NV6,In-house server 3,","n1,n4,n2,n3,",4.09256
13,123604,"In-house server 1,In-house server 3,In-house server 2,","n1,n2,n3,",0.604722
14,134799,"In-house server 3,In-house server 2,","n1,n3,n2,",4.31906
15,145800,"In-house server 2,In-house server 3,Standard_NV6,","n4,n2,n3,n1,",5.53258
16,146198,"Standard_NV6,In-house server 2,In-house server 3,In-house server 1,","n1,n2,n3,n4,",0.156254
17,157229,"Standard_NV6,In-house server 1,In-house server 3,In-house server 2,","n2,n3,n1,n4,",4.74348
18,168467,"Standard_NV6,Standard_NC6,In-house server 1,In-house server 3,","n1,n4,n3,n2,",4.6156
19,179593,"Standard_NV6,Standard_NC6,In-house server 1,In-house server 3,","n3,n2,n1,n4,",4.63274
20,190739,"Standard_NC12,In-house server 1,Standard_NV12,In-house server 3,","n1,n2,n3,n4,",7.46782
21,202121,"Standard_NC6,Standard_NV24X,In-house server 3,","n1,n3,n2,n4,",12.2514
22,204879,"Standard_NV12,In-house server 2,In-house server 3,","n1,n2,n3,n4,",1.98287
23,213368,"In-house server 3,In-house server 1,Standard_NC6,","n1,n4,n3,n2,",2.75314
24,224576,"Standard_NV6,In-house server 3,In-house server 1,","n1,n4,n2,n3,",3.87173
25,233659,"In-house server 2,In-house server 3,In-house server 1,","n1,n4,n3,n2,",3.11615
26,235663,"Standard_NV6,In-house server 3,In-house server 1,","n1,n4,n3,n2,",0.692157
27,246768,"In-house server 1,In-house server 3,In-house server 2,","n1,n2,n3,n4,",3.79883
28,250353,"In-house server 3,In-house server 1,Standard_NV12,","n1,n4,n3,n2,",1.58039
29,258013,"Standard_NV6,In-house server 3,","n1,n4,n2,n3,",2.86431
30,269434,"In-house server 2,In-house server 3,In-house server 1,","n1,n4,n3,n2,",4.02907
31,277599,"Standard_NV24X,In-house server 2,In-house server 3,","n4,n1,n2,n3,",9.66512
32,280702,"In-house server 1,In-house server 3,","n1,n4,n2,n3,",0.874103
33,288030,"In-house server 1,In-house server 3,","n1,n4,n2,n3,",2.17632
34,291343,"Standard_NV12,In-house server 3,","n2,n3,n4,n1,",1.59957
35,291960,"Standard_NV6,In-house server 3,","n1,n4,n3,n2,",0.237643
36,303137,"In-house server 3,","n1,n4,n2,n3,",3.62486
37,314357,"In-house server 3,Standard_NV24X,","n4,n3,n2,n1,",11.1101
38,325603,"In-house server 3,Standard_NV24X,","n1,n2,n3,n4,",11.1873
39,330164,"In-house server 3,Standard_NV24X,","n1,n2,n3,n4,",4.33863
40,335334,"In-house server 3,Standard_NV24X,","n4,n2,n3,n1,",5.00841
41,336955,"In-house server 3,Standard_NV24,","n1,n2,n3,n4,",1.32583
42,343029,"In-house server 3,Standard_NV24X,","n1,n4,n3,n2,",5.85125
43,348325,"In-house server 1,Standard_NC24,In-house server 3,","n1,n2,n3,n4,",3.6933
44,359512,"In-house server 1,Standard_NC24X,In-house server 3,","n1,n4,n3,n2,",9.93171
45,370587,"In-house server 1,Standard_NC24X,In-house server 3,","n1,n2,n3,n4,",9.34053
46,370689,"In-house server 1,Standard_NC24X,In-house server 3,","n1,n2,n3,n4,",0.0868053
47,372878,"In-house server 3,Standard_NV24,","n1,n2,n3,n4,",1.72065
48,381022,"In-house server 1,Standard_NC24X,In-house server 3,","n1,n2,n3,n4,",7.00213
49,381586,"In-house server 1,Standard_NC24,In-house server 3,","n1,n2,n3,n4,",0.407591
