n_iterate,sim_time,Application,Images,Epochs,Batchsize,Jobs,UniqueJobsID,SubmissionTime,Deadline,Tardinessweight,MinExecTime,MaxExecTime,ExecutionTime,CompletionPercent,StartTime,FinishTime,Nodes,VMType,GpuType,GpuNumber,cost,Tardiness,VMcost,TardinessCost,TotalCost
1,11286,tf_alexnet,130000,343,256,J90,JJ1,0,372298,0.0149993,60663.3,494238,11286,5.72961,0,0,n1,In-house server 1,Quadro P600,1,0.11,0,0.34485,0,0.34485
2,22454,tf_resnet50,130000,86,64,J140,JJ2,11286,166543,0.00820137,57423.3,361924,11168,15.9572,11286,0,n2,In-house server 2,GTX 1080Ti,7,1.13,0,1.88758,0,1.88758
2,22454,tf_alexnet,130000,343,256,J90,JJ1,0,372298,0.0149993,57187.5,465920,11168,11.3993,0,0,n1,In-house server 1,Quadro P600,1,0.11,0,0.170622,0,0.170622
3,33722,tf_alexnet,130000,343,256,J90,JJ1,0,372298,0.0149993,53748.1,437898,11268,16.9291,0,0,n2,In-house server 3,Quadro P600,2,0.44,0,2.7544,0,2.7544
3,33722,tf_resnet50,130000,86,64,J140,JJ2,11286,166543,0.00820137,48260.1,304171,11268,35.5799,11286,0,n1,In-house server 2,GTX 1080Ti,8,1.13,0,3.5369,0,3.5369
3,33722,pytorch_resnet50,130000,63,16,J46,JJ3,22454,395773,0.00898677,78756.1,363367,11268,7.79718,22454,0,n2,In-house server 3,Quadro P600,4,0.44,0,5.5088,0,5.5088
4,44989,pytorch_resnet50,130000,63,16,J46,JJ3,22454,395773,0.00898677,72615.3,335035,11267,13.0834,22454,0,n2,In-house server 3,Quadro P600,2,0.44,0,0.306017,0,0.306017
4,44989,pytorch_alexnet,130000,952,1024,J20,JJ4,33722,737102,0.00377904,49145.6,364215,11267,22.9258,33722,0,n2,In-house server 3,Quadro P600,3,0.44,0,0.459026,0,0.459026
4,44989,tf_resnet50,130000,86,64,J140,JJ2,11286,166543,0.00820137,36992.1,233151,11267,55.2009,11286,0,n1,In-house server 2,GTX 1080Ti,8,1.13,0,1.88618,0,1.88618
4,44989,tf_alexnet,130000,343,256,J90,JJ1,0,372298,0.0149993,50393.5,410568,11267,22.4584,0,0,n2,In-house server 3,Quadro P600,2,0.44,0,0.306017,0,0.306017
5,56276,tf_alexnet,130000,343,256,J90,JJ1,0,372298,0.0149993,47039.3,383240,11287,27.9975,0,0,n3,In-house server 3,Quadro P600,2,0.44,0,0.250822,0,0.250822
5,56276,pytorch_resnet50,130000,63,16,J46,JJ3,22454,395773,0.00898677,68452.1,315826,11287,18.379,22454,0,n3,In-house server 3,Quadro P600,2,0.44,0,0.250822,0,0.250822
