slot_number,sim_time,tardiness
1,1096,0
2,2145,0
3,3217,0
4,4268,0
5,5366,0
6,6465,0
7,7547,0
8,8654,0
9,9748,0
10,10829,0
11,11930,0
12,12959,0
13,14044,0
14,15122,0
15,16169,0
16,17271,0
17,18275,0
18,19329,0
19,20382,0
20,21497,0
21,22510,0
22,23548,0
23,24612,0
24,25672,0
25,26766,0
26,27840,0
27,28895,0
28,29959,0
29,31041,0
30,32066,0
31,33169,0
32,34195,0
33,35251,0
34,36317,0
35,37396,0
36,38496,0
37,39606,0
38,40631,0
39,41672,0
40,42790,0
41,43868,0
42,44922,0
43,45935,0
44,46995,0
45,48053,0
46,48566.5,0
47,49158,0
48,50194,0
49,51256,0
50,52284,0
51,53405,0
52,54445,0
53,55540,0
54,56649,0
55,57786,0
56,58906,0
57,60005,0
58,61051,0
59,62114,0
60,63196,0
61,64249,0
62,65279,0
63,66385,0
64,67451,0
65,68576,0
66,69648,0
67,70753,0
68,71839,0
69,71958.4,0
70,72873,0
71,73943,0
72,74995,0
73,76049,0
74,76841,0
75,77064,0
76,77516,0
77,78178,0
78,79262,0
79,80372,0
80,81457,0
81,82549,0
82,83181.9,0
83,83565,0
84,84206.6,0
85,84628,0
86,85681,0
87,86754,0
88,87833,0
89,88898,0
90,90029,0
91,91126,0
92,92189,0
93,92886.9,0
94,93232,0
95,94316,0
96,95365,0
97,96460,0
98,97577,0
99,97597.4,0
100,98693,0
101,99777,0
102,100847,0
103,101880,0
104,102938,0
105,103987,0
106,105069,0
107,106111,0
108,106953,0
109,107165,0
110,108257,0
111,109299,0
112,110388,0
113,111415,0
114,111479,0
115,112491,0
116,113511,0
117,114610,0
118,114908,0
119,115700,0
120,116739,0
121,117857,0
122,118944,0
123,119755,0
124,120045,0
125,121132,0
126,122218,0
127,123332,0
128,123568,0
129,124446,0
130,125510,0
131,125745,0
132,126568,0
133,127619,0
134,128264,0
135,128668,0
136,129676,0
137,130674,0
138,130731,0
139,131130,0
140,131823,0
141,132883,0
142,133654,0
143,133969,0
144,134978,0
145,136041,0
146,136101,0
147,136989,0
148,137106,0
149,137744,0
150,138154,0
151,138515,0
152,139275,0
153,140382,0
154,140699,0
155,141541,0
156,142613,0
157,143682,0
158,144253,0
159,144741,0
160,145825,0
161,146860,0
162,147928,0
163,148202,0
164,149040,0
165,150096,0
166,151003,0
167,151197,0
168,152217,0
169,152352,0
170,153253,0
171,154190,0
172,154373,0
173,154667,0
174,155453,0
175,156535,0
176,157616,0
177,158598,0
178,158757,0
179,159805,0
180,159831,0
181,160864,0
182,161682,0
183,161953,0
184,162683,0
185,162937,0
186,163057,0
187,163328,0
188,164174,0
189,165171,0
190,165900,0
191,166262,0
192,166732,0
193,167344,0
194,168000,0
195,168418,0
196,169466,0
197,169618,0
198,170403,0
199,170526,0
200,171582,0
201,171591,0
202,172648,0
203,173707,0
204,174812,0
205,175620,0
206,175897,0
207,176565,0
208,176938,0
209,177898,0
210,177981,0
211,179037,0
212,179160,0
213,180086,0
214,180852,0
215,181157,0
216,182230,0
217,182780,0
218,183208,0
219,183670,0
220,184224,0
221,185279,0
222,185290,0
223,186348,0
224,187393,0
225,188520,0
226,188924,0
