n_iterate,sim_time,Application,Images,Epochs,Batchsize,Jobs,UniqueJobsID,SubmissionTime,Deadline,Tardinessweight,MinExecTime,MaxExecTime,ExecutionTime,CompletionPercent,StartTime,FinishTime,Nodes,VMType,GpuType,GpuNumber,cost,Tardiness,VMcost,TardinessCost,TotalCost
1,8944,tf_alexnet,130000,279,512,J111,JJ1,0,508208,0.00418968,44571.3,368373,8944,6.21834,0,0,n1,In-house server 1,Quadro P600,1,0.11,0,0.273289,0,0.273289
2,18063,tf_alexnet,130000,279,512,J111,JJ1,0,508208,0.00418968,41799.7,345466,9119,12.5583,0,0,n2,In-house server 1,Quadro P600,1,0.11,0,0.278636,0,0.278636
2,18063,tf_alexnet,130000,475,1024,J92,JJ2,8944,151632,0.00498911,71843.9,598714,9119,11.1249,8944,0,n1,Standard_NV6,M60,1,0.62,0,1.57049,0,1.57049
3,27076,tf_alexnet,130000,279,512,J111,JJ1,0,508208,0.00418968,38973.9,322112,9013,18.8247,0,0,n3,In-house server 1,Quadro P600,1,0.11,0,0.275397,0,0.275397
3,27076,tf_alexnet,130000,475,1024,J92,JJ2,8944,151632,0.00498911,63851.3,532108,9013,22.1204,8944,0,n1,Standard_NV6,M60,1,0.62,0,1.55224,0,1.55224
3,27076,tf_alexnet,130000,232,128,J113,JJ3,18063,162351,0.0110549,48952.6,390266,9013,16.0834,18063,0,n2,Standard_NV6,M60,1,0.62,0,1.55224,0,1.55224
4,35966,tf_alexnet,130000,366,512,J95,JJ4,27076,702316,0.0147667,58474,483260,8890,4.71091,27076,0,n3,In-house server 1,Quadro P600,1,0.11,0,0.271639,0,0.271639
4,35966,tf_alexnet,130000,279,512,J111,JJ1,0,508208,0.00418968,36180.9,299028,8890,25.0054,0,0,n2,In-house server 1,Quadro P600,1,0.11,0,0.135819,0,0.135819
4,35966,tf_alexnet,130000,475,1024,J92,JJ2,8944,151632,0.00498911,55951.7,466276,8890,32.9659,8944,0,n1,Standard_NV6,M60,1,0.62,0,1.53106,0,1.53106
4,35966,tf_alexnet,130000,232,128,J113,JJ3,18063,162351,0.0110549,41079.3,327497,8890,21.6245,18063,0,n2,In-house server 1,Quadro P600,1,0.11,0,0.135819,0,0.135819
5,44941,tf_vgg19,130000,14,32,J176,JJ5,35966,963819,0.00573196,45374.5,685012,8975,12.6204,35966,0,n4,Standard_NV6,M60,1,0.62,0,1.54569,0,1.54569
5,44941,tf_alexnet,130000,366,512,J95,JJ4,27076,702316,0.0147667,55719.4,460494,8975,9.46686,27076,0,n3,In-house server 1,Quadro P600,1,0.11,0,0.274236,0,0.274236
5,44941,tf_alexnet,130000,279,512,J111,JJ1,0,508208,0.00418968,33426,276260,8975,31.2453,0,0,n2,In-house server 1,Quadro P600,1,0.11,0,0.137118,0,0.137118
5,44941,tf_alexnet,130000,475,1024,J92,JJ2,8944,151632,0.00498911,48159.9,401343,8975,43.9151,8944,0,n1,Standard_NV6,M60,1,0.62,0,1.54569,0,1.54569
5,44941,tf_alexnet,130000,232,128,J113,JJ3,18063,162351,0.0110549,38366.8,305872,8975,27.2186,18063,0,n2,In-house server 1,Quadro P600,1,0.11,0,0.137118,0,0.137118
6,53935,tf_vgg19,130000,14,32,J176,JJ5,35966,963819,0.00573196,39648,598560,8994,25.2675,35966,0,n4,Standard_NV6,M60,1,0.62,0,1.54897,0,1.54897
6,53935,tf_alexnet,130000,366,512,J95,JJ4,27076,702316,0.0147667,52938.4,437510,8994,14.2329,27076,0,n3,In-house server 1,Quadro P600,1,0.11,0,0.137408,0,0.137408
6,53935,tf_alexnet,130000,279,512,J111,JJ1,0,508208,0.00418968,30644.8,253274,8994,37.4984,0,0,n3,In-house server 1,Quadro P600,1,0.11,0,0.137408,0,0.137408
6,53935,tf_alexnet,130000,475,1024,J92,JJ2,8944,151632,0.00498911,40293.6,335788,8994,54.8875,8944,0,n1,Standard_NV6,M60,1,0.62,0,1.54897,0,1.54897
6,53935,tf_alexnet,130000,339,512,J119,JJ6,44941,253048,0.0111425,54156,447591,8994,5.14645,44941,0,n2,In-house server 1,Quadro P600,1,0.11,0,0.137408,0,0.137408
