slot_number,sim_time,VM_type,NodeID,cost/node
1,8944,"In-house server 1,","n1,",0.273289
2,18063,"Standard_NV6,In-house server 1,","n1,n2,",1.84913
3,27076,"Standard_NV6,In-house server 1,","n2,n3,n1,",3.37988
4,35966,"Standard_NV6,In-house server 1,","n1,n3,n2,",2.07434
5,44941,"In-house server 1,Standard_NV6,","n1,n4,n2,n3,",3.63985
6,53935,"In-house server 1,Standard_NV6,","n1,n4,n2,n3,",3.64757
7,63023,"In-house server 1,Standard_NV6,","n4,n1,n5,n3,n2,",5.25086
8,72196,"In-house server 1,Standard_NV6,","n3,n2,n1,n5,n4,",4.00044
9,81087,"Standard_NV6,In-house server 1,","n3,n2,n1,n5,n4,",2.61791
10,90011,"Standard_NV6,In-house server 1,","n3,n2,n1,n4,n5,",2.62762
11,99017,"In-house server 3,In-house server 1,Standard_NV6,","n4,n3,n2,n5,n1,",3.47731
12,108079,"In-house server 3,In-house server 1,Standard_NV6,","n4,n3,n2,n5,n1,",3.49894
13,117024,"In-house server 3,In-house server 1,Standard_NV6,","n4,n3,n2,n5,n1,",3.45377
14,125994,"In-house server 3,In-house server 1,Standard_NV6,","n5,n4,n1,n3,n2,",4.73416
15,134952,"In-house server 3,In-house server 1,Standard_NV6,","n5,n4,n1,n3,n2,",4.72784
16,141670,"Standard_NV6,In-house server 1,","n5,n4,n1,n3,n2,",2.9299
17,142506,"Standard_NV6,In-house server 1,In-house server 3,","n4,n5,n3,n2,n1,",0.32253
18,161709,"Standard_NV6,In-house server 1,","n4,n1,n5,n3,n2,",5.65444
19,188518,"In-house server 1,Standard_NV6,","n5,n4,n3,n2,n1,",7.89367
20,207133,"Standard_NV6,In-house server 1,","n4,n1,n5,n3,n2,",5.48095
21,219702,"In-house server 1,","n5,n2,n3,n4,n1,",1.92038
22,253861,"In-house server 1,","n1,n4,n5,n3,n2,",5.2187
23,297068,"In-house server 3,In-house server 1,","n5,n4,n3,n2,n1,",10.5617
24,299851,"In-house server 1,Standard_NV6,","n4,n1,n5,n3,n2,",0.819311
25,331953,"Standard_NV6,In-house server 1,","n5,n4,n3,n2,n1,",9.45237
26,337406,"In-house server 1,In-house server 2,","n1,n2,n3,n5,n4,",2.37787
27,368979,"In-house server 1,In-house server 2,","n1,n4,n2,n3,",12.8048
28,369870,"In-house server 1,In-house server 2,","n1,n3,n2,",0.334287
29,375157,"In-house server 1,In-house server 2,","n2,n3,n1,",1.98265
30,405063,"In-house server 1,","n1,n2,",1.82756
31,485046,"In-house server 1,","n1,",2.44391
