slot_number,sim_time,VM_type,NodeID,cost/node
1,9022,"In-house server 3,","n1,",1.10269
2,18060,"In-house server 3,","n1,",0.662786
3,27059,"In-house server 3,","n1,",0.699922
4,36087,"In-house server 3,","n1,",0.802489
5,45001,"In-house server 3,In-house server 1,","n1,n2,",1.14396
6,50899.4,"In-house server 3,","n1,n2,",1.06336
7,54166,"In-house server 3,","n1,",0.171106
8,63106,"In-house server 2,In-house server 3,","n1,n2,",3.27446
9,72261,"Standard_NV6,In-house server 3,","n1,n3,n2,",2.77597
10,81190,"In-house server 1,In-house server 3,","n1,n3,n2,",1.43691
11,90083,"Standard_NV6,In-house server 2,In-house server 3,","n1,n3,n2,n5,n4,",5.89337
12,99071,"In-house server 3,In-house server 2,","n2,n3,n4,n1,",4.12044
13,106306,"Standard_NV12,In-house server 2,In-house server 3,","n1,n3,n2,n4,n5,",6.02532
14,108064,"In-house server 2,In-house server 3,","n2,n3,n1,n4,",1.14275
15,117327,"Standard_NV6,In-house server 3,In-house server 2,In-house server 1,","n2,n3,n1,n5,n4,",5.27574
16,121873,"In-house server 3,In-house server 2,","n1,n2,n3,n4,n5,",3.45628
17,124394,"Standard_NV6,In-house server 2,In-house server 3,","n1,n2,n3,n4,n5,",2.06351
18,126358,"Standard_NV6,In-house server 3,","n1,n2,n3,",0.707412
19,135340,"Standard_NV6,In-house server 1,In-house server 3,","n1,n4,n2,n3,",3.70591
20,144315,"Standard_NV12,In-house server 3,In-house server 2,","n1,n2,n3,n4,",6.4077
21,152994,"Standard_NV12,In-house server 3,","n1,n4,n2,n3,",5.28763
22,153261,"Standard_NV6,In-house server 1,In-house server 3,","n1,n4,n2,n3,",0.105897
23,162317,"In-house server 3,In-house server 2,","n1,n4,n5,n3,n2,",5.17964
24,166263,"Standard_NV6,In-house server 3,","n1,n4,n5,n3,n2,",2.12924
25,169964,"Standard_NV6,In-house server 3,In-house server 1,In-house server 2,","n1,n2,n3,n5,n4,",2.10889
26,170032,"Standard_NV6,In-house server 3,In-house server 2,","n1,n4,n5,n2,n3,",0.0463458
27,171314,"Standard_NV24,In-house server 2,In-house server 1,In-house server 3,","n1,n4,n3,n2,",1.23631
28,180191,"Standard_NV6,In-house server 3,In-house server 2,","n1,n2,n3,n4,n5,",5.56716
29,186032,"Standard_NV12,In-house server 3,In-house server 2,","n1,n2,n3,n5,n4,",4.7463
30,189206,"Standard_NV12,In-house server 3,In-house server 1,","n1,n2,n3,n5,n4,",2.26985
31,198247,"Standard_NV6,In-house server 3,In-house server 2,","n3,n2,n4,n5,n1,",6.64179
32,205322,"Standard_NV6,In-house server 3,In-house server 2,","n4,n1,n5,n2,n3,",5.28401
33,207161,"Standard_NV12,In-house server 2,In-house server 3,","n1,n2,n3,n5,n4,",1.50768
34,216093,"Standard_NV12,In-house server 3,In-house server 2,","n2,n3,n5,n4,n1,",8.19121
35,218102,"Standard_NV12,In-house server 2,In-house server 3,","n1,n4,n2,n3,n5,",1.82315
36,220642,"In-house server 3,Standard_NV24,In-house server 2,","n4,n5,n2,n3,n1,",3.61307
37,225244,"In-house server 2,Standard_NV24,In-house server 3,","n4,n5,n1,n2,n3,",6.46905
38,227066,"Standard_NV12,In-house server 3,In-house server 2,","n2,n3,n1,n4,n5,",2.0878
39,236674,"Standard_NV6,In-house server 3,In-house server 2,","n3,n2,n1,n4,n5,",9.40145
40,260402,"Standard_NV24,In-house server 3,In-house server 2,","n1,n3,n2,n4,n5,",28.9165
41,276850,"In-house server 1,Standard_NC6,In-house server 2,In-house server 3,","n4,n1,n2,n3,n5,",11.383
42,289353,"In-house server 1,In-house server 2,In-house server 3,","n2,n3,n1,n4,n5,",9.32449
43,304632,"Standard_NV6,In-house server 2,In-house server 3,","n1,n4,n5,n2,n3,",12.8899
44,306406,"Standard_NV6,In-house server 2,In-house server 3,","n3,n2,n4,n1,",1.2778
45,339901,"In-house server 3,In-house server 2,","n1,n2,",7.81151
46,340053,"In-house server 2,In-house server 3,","n2,n1,",0.0427812
47,350791,"Standard_NV6,In-house server 3,In-house server 2,","n1,n2,n3,",6.09445
48,351877,"In-house server 2,Standard_NV6,In-house server 1,","n3,n2,n1,",0.561078
49,361995,"In-house server 2,In-house server 3,","n1,n2,",3.91808
50,419445,"In-house server 2,In-house server 1,","n1,n2,",19.2032
51,608596,"In-house server 1,","n1,",3.85308
