slot_number,sim_time,tardiness
1,9022,0
2,18060,0
3,27059,0
4,36087,0
5,45001,0
6,50899.4,0
7,54166,0
8,63106,0
9,72261,0
10,81190,0
11,90083,0
12,99071,0
13,106306,0
14,108064,0
15,117327,0
16,121873,0
17,124394,0
18,126358,0
19,135340,0
20,144315,0
21,152994,0
22,153261,0
23,162317,0
24,166263,0
25,169964,0
26,170032,0
27,171314,0
28,180191,0
29,186032,0
30,189206,0
31,198247,0
32,205322,0
33,207161,0
34,216093,0
35,218102,0
36,220642,0
37,225244,0
38,227066,0
39,236674,0
40,260402,0
41,276850,0
42,289353,0
43,304632,0
44,306406,0
45,339901,0
46,340053,0
47,350791,0
48,351877,0
49,361995,0
50,419445,0
51,608596,0
