slot_number,sim_time,tardiness
1,9103,0
2,18133,0
3,27121,0
4,36143,0
5,45081,0
6,53978,0
7,63084,0
8,72069,0
9,80863,0
10,89921,0
11,98966,0
12,108064,0
13,117176,0
14,126265,0
15,135097,0
16,144102,0
17,145916,0
18,145987,0
19,146243,0
20,153062,0
21,162122,0
22,171196,0
23,180192,0
24,181530,0
25,189087,0
26,198006,0
27,207068,0
28,207159,0
29,214216,0
30,215964,0
31,219740,0
32,222998,0
33,224905,0
34,233923,0
35,242748,0
36,247143,0
37,251686,0
38,253410,0
39,260736,0
40,269692,0
41,278532,0
42,279462,0
43,287405,0
44,292272,0
45,296138,0
46,296391,0
47,299282,0
48,305385,0
49,309545,0
50,314171,0
51,323235,0
52,325309,0
53,331675,0
54,332219,0
55,341286,0
56,341906,0
57,350092,0
58,358099,0
59,358953,0
60,367977,0
61,376985,0
62,384215,0
63,386092,0
64,395098,0
65,399071,0
66,404378,0
67,413262,0
68,417028,0
69,422093,0
70,423078,0
71,431155,0
72,440222,0
73,442451,0
74,442833,0
75,449399,0
76,452479,0
77,456980,0
78,468777,0
79,484149,0
80,486713,0
81,493903,0
82,500236,0
83,512001,0
84,524290,0
85,528155,0
86,538950,0
87,549088,0
88,554767,0
89,578929,0
90,609699,0
91,610662,0
92,616900,0
93,644265,0
94,659691,0
95,668242,0
96,676977,0
97,691589,0
98,691657,0
99,725802,0
100,728092,0
101,922251,0
